no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
no,Tinocladia,falklandica,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,microthalli,unk,only ref unavailable online: Papenfuss+ G.F. (1964). Catalogue and bibliography of Antarctic and Sub-Antarctic benthic marine algae,unk,,,unk,,,,unk,30 cm (https://www.algaebase.org/search/genus/detail/?genus_id=41139),,,,,,none,guess - not many annual marine algae,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,unk,only ref unavailable online: Papenfuss+ G.F. (1964). Catalogue and bibliography of Antarctic and Sub-Antarctic benthic marine algae,
no,Trachynema,groenlandicum,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,microthalli,unk,"there is literally no information on this species+ except for a reference in ... Danish? that I can't find: Pedersen+ P.M. (2011). Grønlands havalger. pp. [1] 7-208. Copenhagen: Forlaget Epsilon.DK.

",unk,,,1-10,"has micro sporophyte cells that float around for some distance before and after fertilization
based on microscopic gametophyte and dispersal of aculeata (https://www.tandfonline.com/doi/pdf/10.1080/00071619200650271)",,,unk,30mm (https://doi.org/10.1111/j.1756-1051.1985.tb01684.x),,,,,,none,guess - not many annual marine algae,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,unk,"there is literally no information on this species+ except for a reference in ... Danish? that I can't find: Pedersen+ P.M. (2011). Grønlands havalger. pp. [1] 7-208. Copenhagen: Forlaget Epsilon.DK.

",
no,Laminaria,longicruris,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,gametophyte,200,"6 wk before big enough to be identified in microscope. but time from then to when they reproduce (or even size at first reproduction) not given. ""Fecundity was related to plant size and not to plant age."" Chapman 1986 DOI: 10.1016/0022-0981(86)90113-9.  small plants estimated to take 150 days to reach next (reproductive) size class. Ang 1990 Marine Ecol Progress Series. 6wx x 7 d/wk + 150 d = 192 d. so say 200 (no sex)",200,"6 wk before big enough to be identified in microscope. but time from then to when they reproduce (or even size at first reproduction) not given. ""Fecundity was related to plant size and not to plant age."" Chapman 1986 DOI: 10.1016/0022-0981(86)90113-9.  small plants estimated to take 150 days to reach next (reproductive) size class. Ang 1990 Marine Ecol Progress Series. 6wx x 7 d/wk + 150 d = 192 d. so say 200",Y,1-10,has micro sporophyte cells that float around for some distance before and after fertilization+ Laminaria hyperborea with same life stage went 5 km (https://www.tandfonline.com/doi/pdf/10.1080/00071619200650271),,,0.1,"microscopic gametophyte (http://www.geog.mcgill.ca/climatechange/ReportsMap/kelp_all_speciesRpt.pdf)
any: max blade length = 7m. http://www.fao.org/3/X5819E/x5819e08.htm",,,,,,none,present all year (https://www.jstor.org/stable/24816783),non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,1460,impossible to age adult plants in field+ but from turnover experiments estimate sporangial plants were found to survive to a maximum age of 4 years (unpublished data) http://www.fao.org/3/X5819E/x5819e08.htm,
no,Gigartina,teedii,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,adult,95,95-105 days; Guiry 1984 pg49  https://doi.org/10.1080/00071618400650051,95,95-105 days; Guiry 1984 pg49  https://doi.org/10.1080/00071618400650051,Y,0-1,adhesion of freshly-released spores was very rapid (https://doi.org/10.1080/00071618400650051),,,20,200 mm (https://doi.org/10.1080/00071618400650051),,,,,,none,doesnt seem to be an annual,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,unk,perennial (Synopsis of British Seaweeds+ Compiled from Professor Harvey's Phycologia),
no,Anisotome,imbricata,Streptophyta,Spermatophyta,Apiales,Apiaceae,NA,unk,,unk,,,,winged mericarps are dispersed by wind (http://www.nzpcn.org.nz/flora_details.aspx?ID=1506),,,5,5cm (http://www.nzflora.info/factsheet/Taxon/Anisotome-imbricata.html),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (Brown+ C. S.+ Mark+ A. F.+ Kershaw+ G. P.+ & Dickinson+ K. J. (2006). Secondary succession 24 years after disturbance of a New Zealand high-alpine cushionfield. Arctic+ Antarctic+ and Alpine Research+ 38(3)+ 325-334.),
no,Artemisia,californica,Streptophyta,Spermatophyta,Asterales,Asteraceae,NA,250,Pratt et al 2014+  250-305,250,Pratt et al 2014+  250-305,Y,,small and primarily wind-dispersed seeds (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),,,250,2.5 m (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Azenor/Nikki,9125,25 years (https://www.researchgate.net/publication/330303099_Plant_Profile_for_Artemisia_californica_Updated_2017_Native_Plant_Recommendations_for_Southern_California_Ecoregions),
no,Celmisia,haastii,Streptophyta,Spermatophyta,Asterales,Asteraceae,NA,unk,,unk,,,0-1,max 150cm from plant (https://doi.org/10.1080/0028825X.1990.10412327) and pappate are seed dispersed by wind (http://nzpcn.org.nz/flora_details.aspx?ID=1622),,,15,15cm (https://davesgarden.com/guides/pf/go/127491/#b),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (https://www.jstor.org/stable/2424328),
no,Celmisia,viscosa,Streptophyta,Spermatophyta,Asterales,Asteraceae,NA,2920,Cambell 1981 - time between major flowering peaks - no sex,2920,Cambell 1981 - time between major flowering peaks,Y,0-1,max 150cm from plant (https://doi.org/10.1080/0028825X.1990.10412327),,,unk,,,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Azenor/Nikki,unk,,
no,Encelia,farinosa,Streptophyta,Spermatophyta,Asterales,Asteraceae,NA,730,2 years (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),730,2 years (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),Y,,pappus for dispersal is absent+ long-range seed dispersal by wind or fauna (DOI: 10.2307/2425750),,,150,1.5 m (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Azenor/Nikki,10950,30 years (https://doi.org/10.1016/j.ympev.2008.11.011),
no,Atriplex,hymenelytra,Streptophyta,Spermatophyta,Caryophyllales,Amaranthaceae,NA,730,most species of the genus Atriplex first bear seed at 2 to 4 years of age (https://www.fs.fed.us/database/feis/plants/shrub/atrgar/all.html),730,most species of the genus Atriplex first bear seed at 2 to 4 years of age (https://www.fs.fed.us/database/feis/plants/shrub/atrgar/all.html),Y,unk,,,,122,122cm tall (https://en.wikipedia.org/wiki/Atriplex_hymenelytra),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (https://www.wildflower.org/plants/result.php?id_plant=ATHY),
no,Atriplex,leucophylla,Streptophyta,Spermatophyta,Caryophyllales,Amaranthaceae,"NA
",730,most species of the genus Atriplex first bear seed at 2 to 4 years of age (https://www.fs.fed.us/database/feis/plants/shrub/atrgar/all.html),730,most species of the genus Atriplex first bear seed at 2 to 4 years of age (https://www.fs.fed.us/database/feis/plants/shrub/atrgar/all.html),Y,unk,,,,30,less than 3dm (http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15230),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Azenor/Nikki,,perennial (https://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=989),
no,Silene,acaulis,Streptophyta,Spermatophyta,Caryophyllales,Caryophyllaceae,NA,9015.5,Morris and Doak 1998 (24.7 years),9015.5,Morris and Doak 1998 (24.7 years),,1-10,seeds are dispersed by gravity and wind but do not possess any structures that aid in wind dispersal+ study suggests gene flow of pollen to populations 4km apart (https://www.nature.com/articles/6885240),,,3,3cm (http://www.perennials.com/plants/silene-acaulis.html),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Azenor/Nikki,109500,300 years (low survival) (Morris and Doak 1998),
no,Hectorella,caespitosa,Streptophyta,Spermatophyta,Caryophyllales,Montiaceae,NA,unk,,unk,,,unk,,,,4,4cm (http://www.nzflora.info/factsheet/Taxon/Hectorella-caespitosa.html),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (http://www.nzflora.info/factsheet/Taxon/Hectorella-caespitosa.html),
no,Eriogonum,latifolium,Streptophyta,Spermatophyta,Caryophyllales,Polygonaceae,NA,unk,,unk,,,,seeds are likely to be primarily gravity dispersed (https://doi.org/10.3398/064.078.0413),,,70,70cm (http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=24832),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (https://plants.usda.gov/core/profile?symbol=ERLA5),
no,Eriogonum,fasciculatum,Streptophyta,Spermatophyta,Caryophyllales,Polygonaceae,NA,365,1-2 years (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),365,1-2 years (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),Y,,dispersal by wind and water (https://data.fs.usda.gov/research/pubs/iitf/iitf_gtr026.pdf#page=324),,,200,2 m (https://en.wikipedia.org/wiki/Eriogonum_fasciculatum),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,18250,over 50 years (https://www.fs.fed.us/psw/publications/beyers/psw_2010_beyers013(montalvo)eriogonumfasciculatum.pdf),
no,Dracophyllum,muscoides,Streptophyta,Spermatophyta,Ericales,Ericaceae,NA,unk,,unk,,,,minute seeds are wind dispersed (10.1016/j.ppees.2009.06.001),,,0.5,50mm (http://nzpcn.org.nz/flora_details.aspx?ID=1806),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,unk,,
no,Salvia,leucophylla,Streptophyta,Spermatophyta,Lamiales,Lamiaceae,NA,unk,,unk,,,unk,,,,150,1.5m (http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=43066),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (https://plants.usda.gov/core/profile?symbol=SALE3),
no,Salvia,mohavensis,Streptophyta,Spermatophyta,Lamiales,Lamiaceae,NA,unk,,unk,,,unk,,,,100,1m (http://ucjeps.berkeley.edu/cgi-bin/get_JM_treatment.pl?Salvia%20mohavensis),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (https://plants.usda.gov/core/profile?symbol=SAMO3),
no,Bromus,tectorum,Streptophyta,Spermatophyta,Poales,Poaceae,young,45,produced seeds as early as 45 days (https://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html),45,produced seeds as early as 45 days (https://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html),Y,,"""most seeds fall to the soil surface near the parent plant+ or are spread short distances by wind or water. Long-distance dispersal is facilitated by humans and wild and domestic animals"" (https://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html)",,,75,75 cm (https://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,365,winter annual (https://www.fs.fed.us/database/feis/plants/graminoid/brotec/all.html),
no,Bromus,rubens,Streptophyta,Spermatophyta,Poales,Poaceae,young,86,mean days to heading was 86 (https://doi.org/10.1007/BF00345444),86,mean days to heading was 86 (https://doi.org/10.1007/BF00345444),Y,," ""fairly light seeds and long awns"" (https://doi.org/10.1007/978-3-319-24930-8_10) and ""short-distance dispersal is aided by wind+ which blows seeds along the ground until they settle in eddies behind shrubs or rocks or in depressions in the ground. Long-distance dispersal of B. rubens is accomplished by seeds that lodge in animal fur and in loosely woven clothing"" (https://www.cabi.org/isc/datasheet/10033#tohistoryOfIntroductionAndSpread)
""very  low rate  of outcrossing"" (https://doi.org/10.1016/B978-0-12-398560-6.50008-0)",,,40,40 cm (https://www.cabi.org/isc/datasheet/10033#todescription),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,365,annual (https://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=1209),Syn: Bromus madritensis subspecies rubens
no,Poa,colensoi,Streptophyta,Spermatophyta,Poales,Poaceae,NA,unk,,unk,,,0-1,maximum distance 60cm (https://doi.org/10.1080/0028825X.1990.10412327),,,30,30 cm (https://www.jstor.org/stable/24054471),,,,,,none,plant,non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,,perennial (https://doi.org/10.1080/0028825X.1963.10429325),
,Palirhoeus,eatoni,Arthropoda,Insecta,Coleoptera,Brachyceridae,adult,unk,,unk,,,100+,MOVEMENT: succesfully dispersed across 2 islands in the antarctic that were separated >500 km apart: island of Kerguélen and island of Crozet (https://www.ingentaconnect.com/content/sabinet/ento/2001/00000009/00000002/art00011),,,0.55,4.0 – 5.5 mm (https://repository.up.ac.za/bitstream/handle/2263/27500/Complete.pdf?sequence=8),0.44,mean adult body length+ table 2 (10.1007/s003000100281),0.39,mean adult body length+ table 2 (10.1007/s003000100281),,none,no dormancy reported,unk,,NA,NA,NA,unk,,Wilco+Piero/Nikki,unk,,could not find maturity at reproduction but know it matures after 7 larval instars 
,Calathus,melanocephalus,Arthropoda,Insecta,Coleoptera,Carabidae,adults,285,285-690 (https://link.springer.com/article/10.1134/S0013873806080057 + https://www.semanticscholar.org/paper/Seasonal-aspects-of-life-cycles-in-Calathus-and-C.-Filippov/8f6f9cd682bd782584d6dfb2432765d41830170e/figure/5),285,285-690 (https://link.springer.com/article/10.1134/S0013873806080057 + https://www.semanticscholar.org/paper/Seasonal-aspects-of-life-cycles-in-Calathus-and-C.-Filippov/8f6f9cd682bd782584d6dfb2432765d41830170e/figure/5),Y,10-100,GENETIC: wing morphs observed (https://link.springer.com/article/10.1007/BF02515767),,,0.7,(van Noordwijk CGE+ Verberk WCEP+ Turin H+ Heijerman T+ Alders K+ Dekoninck W+ Hannig K+ Regan EC+ McCormack S+ Brown MJF+ Remke E+ Siepel H+ Berg MP & Bonte D (2015) Species-area relationships are modulated by trophic rank+ habitat affinity and dispersal ability. Ecology 96: 518-531. doi: 10.1890/14-0082.1),,,,,,spring+ winter,https://link.springer.com/article/10.1134/S0013873806080057 + https://www.semanticscholar.org/paper/Seasonal-aspects-of-life-cycles-in-Calathus-and-C.-Filippov/8f6f9cd682bd782584d6dfb2432765d41830170e/figure/5 + https://www.naturespot.org.uk/species/calathus-melanocephalus ,non-migratory,taxa,NA,NA,NA,unk,,Wilco+Piero,390,https://www.semanticscholar.org/paper/Seasonal-aspects-of-life-cycles-in-Calathus-and-C.-Filippov/8f6f9cd682bd782584d6dfb2432765d41830170e/figure/5,
,Glossina,pallidipes,Arthropoda,Insecta,Diptera,Glossinidae,adult,15,15-25 (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576662/ + https://en.wikipedia.org/wiki/Tsetse_fly),15,15-25 (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576662/ + https://en.wikipedia.org/wiki/Tsetse_fly),Y,1-10,"MOVEMENT: average root mean square displacement of 175m per day (Brightwell et al. 1992 Bull Entom Research 82:167-182 AND Williams et al (1992) Journal of Applied Ecology 29: 163-179: dispersal refers to advancement of population front in one year (Williams et al 1992 ))
GENETIC: low gene flow between populations separated by 10-100s of km (https://doi.org/10.1079/BER2005376)",,,1.5,A. M. Jordan (1986). Trypanosomaisis control and African rural development. London and New York: Longman.,,,,,,none,tropical,non-migratory,no seasonal change in trapping efficiency in recapture study (https://doi.org/10.1017/S0007485300037378),NA,NA,NA,unk,,Susana+Wilco+Piero/Nikki,160,https://academic.oup.com/beheco/article/8/4/392/207550,
,Myrmecocystus,depilis,Arthropoda,Insecta,Hymenoptera,Formicidae,adult,90,Queen - http://www.antwiki.org/wiki/Myrmecocystus,unk,,,1-10,MOVEMENT: estimate based on flight capacity (https://en.wikipedia.org/wiki/Myrmecocystus_mexicanus#Nuptial_flights),,,0.8,http://www.antwiki.org/wiki/Myrmecocystus_depilis,,,,,,summer,hottest months of the year (June to September include in the desert southern areas of their range) aestivation https://docs.google.com/spreadsheets/d/19V7wEqsh-hf9YSYqTk-nHGxy9o76BAK_mq0rPZkx0R4/edit#gid=0 + http://www.antwiki.org/wiki/Myrmecocystus_species_groups,non-migratory,guess since any migration would likely be short distance ,NA,NA,NA,0.0000000573,4.2 to 13.5cm radius colony size (https://doi.org/10.1603/0013-8746(2001)094[0059:DOMMHF]2.0.CO;2),Wilco+Piero/Nikki,6205,https://books.google.ca/books?id=R-7TaridBX0C&pg=PA172&lpg=PA172&dq=Myrmecocystus+depilis+days&source=bl&ots=sL0Rg6GM5a&sig=ACfU3U2EOG24gWX5JB9WuRWbkz50Hgm01w&hl=fr&sa=X&ved=2ahUKEwiwxey60rThAhXKjVkKHXtHBIMQ6AEwCHoECAgQAQ#v=onepage&q=Myrmecocystus%20depilis%20days&f=false+Hölldobler B+ Grillenberger B+ Gadau J (2011) Queen number and raiding behavior in the ant genus Myrmecocystus (Hymenoptera: Formicidae). Myrmecol News 15:53–61,
,Alosa,pseudoharengus,Chordata,Actinopterygii,Clupeiformes,Clupeidae,adult,1642,AnAge,1277,AnAge,,10-100,MOVEMENT: captures show connectivity between populations of more than 10km (see map and Site Fidelity) - (https://pdfs.semanticscholar.org/115a/6db9c3f188848f190d2d86eb1df9aef513e3.pdf),,,40,SL male/unsexed - fishbase ,30,SL male/unsexed - fishbase ,30,SL male/unsexed - fishbase ,Y,none,no dormancy reported,migratory,IUCN Red List,spring,NA,"DISTANCE: less than 100km inferred from patterns described in (https://doi.org/10.1577/1548-8659(1972)101%3C583:CBAAAE%3E2.0.CO;2)
TIMING: anadromous fish+ reproduce in spring and stays max 3 months (https://doi.org/10.2307/1936461)",unk,non-territorial https://animaldiversity.org/accounts/Alosa_pseudoharengus/,Azenor/Nikki,4015,typical/range lifespan 5 years and maximum of 11 years https://animaldiversity.org/accounts/Alosa_pseudoharengus/ https://www.cabi.org/isc/datasheet/94217,
,Catostomus,clarkii,Chordata,Actinopterygii,Cypriniformes,Catostomidae,adult,730,http://explorer.natureserve.org/servlet/NatureServe?searchName=Catostomus%20clarkii,730,http://explorer.natureserve.org/servlet/NatureServe?searchName=Catostomus%20clarkii,Y,0-1,"MOVEMENT: max displacement of transients of 819m (DOI: 10.1139/cjfas-2012-0334) and 1/2 population considered transient within the 200-300m+ so low site fidelity 
",,,33,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.022-0.53,168-819m maximum linear displacement between the two most distant detection locations+ used as diameter (DOI: 10.1139/cjfas-2012-0334),Azenor/Nikki,3650,8 to 10 years http://explorer.natureserve.org/servlet/NatureServe?searchName=Catostomus%20clarkii,
,Agosia,chrysogaster,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,adult,365,"Guess based on paper classifying adult fish caught in 1961 as ""spring 1960 fish"" (Winther+ John Kristian. ""Age and Growth of the Longfin Dace+ Agosia Chrysogaster Girard."" (1962). https://digitalrepository.unm.edu/biol_etds/268)",365,"Guess based on paper classifying adult fish caught in 1961 as ""spring 1960 fish"" (Winther+ John Kristian. ""Age and Growth of the Longfin Dace+ Agosia Chrysogaster Girard."" (1962). https://digitalrepository.unm.edu/biol_etds/268)",Y,1-10,MOVEMENT: known to disperse rapidly to populate many km+ juveniles found to move 300m upstream in 2 hours (DOI: 10.2307/3670225),,,0.9,Maximum fork length 90 mm https://digitalrepository.unm.edu/biol_etds/268/,,,,,,kunk,may burrow to avoid temp stress and dessication but not known for sure (DOI: 10.2307/3670225),non-migratory,IUCN Red List,NA,NA,NA,unk,,Wilco+Piero/Nikki,1095,3 years (NatureServe Explorer),
,Gila,robusta,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,adult,730,http://explorer.natureserve.org,730,http://explorer.natureserve.org,Y,1-10,MOVEMENT: max 5.7km displacement among two populations (Brouder+ M. J. (2000). Life history and ecology of the roundtail chub+ Gila robusta+ from two streams in the Verde River Basin (No. 3). Arizona Game and Fish Department+ Research Branch.),,,43,TL male/unsexed -fishbase,,,,,,none,seeks thermal refuge near warm outflows in winter (http://heritage.nv.gov/taxon_detail/16333) ,non-migratory,IUCN Red List,NA,NA,NA,0.031,majority of recaptures less than 100m displacement+ used as radius (Brouder+ M. J. (2000). Life history and ecology of the roundtail chub+ Gila robusta+ from two streams in the Verde River Basin (No. 3). Arizona Game and Fish Department+ Research Branch.),Wilco+Piero/Nikki,3650,7 to 10 years http://explorer.natureserve.org,
,Meda,fulgida,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,adult,425,mature in second summer and born in April/May http://explorer.natureserve.org ,425,mature in second summer and born in April/May http://explorer.natureserve.org ,Y,10-100,LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf),,,9.1,TL male/unsexed -fishbase,,,,,,none,http://explorer.natureserve.org,non-migratory,IUCN Red List,NA,NA,NA,unk,,Wilco+Piero/Nikki,730,1-2 years typical lifepsan http://explorer.natureserve.org,
,Pogonichthys,macrolepidotus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,730,http://explorer.natureserve.org,730,http://explorer.natureserve.org,Y,10-100,"GENETICS: found genetic connectivity between two populations separated by ~10km+ and genetic distinction in populations separated by ~less than 100km (DOI 10.1007/s10592-006-9157-2)
MIGRATION: local migrations of 11km upstream in this pop (https://doi.org/10.15447/sfews.2004v2iss2art3)",,,44,TL male/unsexed -fishbase,,,,,,none,http://explorer.natureserve.org,non-migratory,IUCN Red List,NA,NA,NA,0.00003,majority of tagged fish moved less than 3 10x10m grid units+ so 30m^2 used (https://doi.org/10.15447/sfews.2008v6iss2art3),Wilco+Piero/Nikki,2555,7 years max+ 5-7 typical (NatureServe Explorer),
,Rhinichthys,cobitis,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,adult,300,http://explorer.natureserve.org,300,http://explorer.natureserve.org,Y,unk,,,,6,http://explorer.natureserve.org,,,,,,none,http://explorer.natureserve.org,non-migratory,IUCN Red List,NA,NA,NA,unk,,Wilco+Piero/Nikki,1825,5 years max (Fishbase),
,Cyprinodon,macularius,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,adult,365,1 year in variable conditions - http://explorer.natureserve.org,365,1 year in variable conditions - http://explorer.natureserve.org,Y,1-10,MOVEMENT: live in pools+ studied pools are maximum of 15x200m - area of ~3km (DOI: 10.2307/1931598),,,7.2,TL male/unsexed -fishbase,,,,,,none,desert fish ,non-migratory,IUCN Red List,NA,NA,NA,unk,maybe use source for dispersal? ,Nikki,730,2 years maximum reported age - fishbase,
,Galaxias,fasciatus,Chordata,Actinopterygii,Galaxiiformes,Galaxiidae,juvenile,1460,4 years (IUCN Red List),730,2 years (IUCN Red List),,0-1,MOVEMENT: high site fidelity+ at least 84% of the fish remained in the same pool for a period of 1 year+ and a study assumed fish only caught once along 350m stretch (https://doi.org/10.1080/00288330.2010.544044),,,30,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,https://doi.org/10.1080/00288330.1979.9515797,NA,NA,amphidromous+ no spawning migration but larvae drift to sea and juveniles return to freshwater (https://doi.org/10.1080/00288330.1979.9515797) ,unk,,Nikki,2555,7 years typical+ max observed 15 years (IUCN Red List),
,Galaxias,maculatus,Chordata,Actinopterygii,Galaxiiformes,Galaxiidae,juvenile,365,1 year (IUCN Red List),365,1 year (IUCN Red List),Y,100+,GENETIC: genetic analysis of 20 populations: high gene flow and lack of site fidelity among estuarine but not among resident populations+ estuarine populations separated by 100+km (doi: 10.1111/mec.15290),,,19,SL male/unsexed - fishbase ,10,TL male/unsexed -fishbase,10,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,Fishbase,August/September/October,August/September/October,"DISTANCE: more than 850km (https://doi.org/10.1111/j.1439-0426.2006.00820.x)
TIMING: catadromous+ begin in estuary as larvae 5-6 months+ migrate and reach maturity in full freshwater at 1 year+  return to sea to spawn in August+ typically die after one spawning season but some survive another year (Hugo+ C. C. (1973). Migration of Galaxias maculatus (Jenyns)(Galaxiidae+ Pisces) in valdivia estuary+ chile. Hydrobiologia+ 43(3-4)+ 301-312.) 
POPULATION SPECIFIC: land-locked populations do not migrate (https://doi.org/10.1111/j.1439-0426.2006.00820.x)",unk,,Nikki,1825,dies after spawning+ usually dies at maturity after 1 year but can live until 5 max (IUCN Red List),complicated migration
,Gillichthys,mirabilis,Chordata,Actinopterygii,Gobiiformes,Oxudercidae,adult,365,1 year (Barlow+ G. W. (1963). Species structure of the gobiid fish Gillichthys mirabilis from coastal sloughs of the eastern Pacific.),365,1 year (Barlow+ G. W. (1963). Species structure of the gobiid fish Gillichthys mirabilis from coastal sloughs of the eastern Pacific.),Y,1-10,"MOVEMENT: high site fidelity (https://doi.org/10.1007/s12237-009-9177-5) and species classified as resident of 10km wide estuary (https://doi.org/10.1016/S0272-7714(05)80099-X)
LARVAE: planktonic larvae (pg 1226 of http://calcofi.org/publications/atlases/CalCOFI_Atlas_33.pdf) but duration is unk",,,21,TL male/unsexed -fishbase,19,TL male/unsexed -fishbase,19,TL male/unsexed -fishbase,Y,none,http://explorer.natureserve.org/servlet/NatureServe?searchName=Gillichthys+mirabilis,non-migratory,IUCN Red List,NA,NA,NA,0.00283,home range <30m+ used as radius (https://doi.org/10.1111/j.1462-2920.2007.01381.x),Azenor/Nikki,730,2 years max - fishbase,
,Ambassis,ambassis,Chordata,Actinopterygii,NA,Ambassidae,NA,365,12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.),365,12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.),Y,unk,classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12),,,15,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,1095,males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.),
,Apogon,dovii,Chordata,Actinopterygii,NA,Apogonidae,NA,unk,,unk,,,unk,mouthbrooder (IUCN Red List),,,7.5,TL male/unsexed -fishbase,,,,,,none,tropical fish,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,unk,,
