intratherm_id,extractor,ref,original_compilation,genus_species,population_id,acclim_temp,latitude,longitude,coordinates_source,genus_from_study,species_from_study,location_description,realm_general3,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage.x,phylum.x,class.x,order.x,family.x,realm_specific,realm_general,notes.x,n_cat,record_number,record,acclim_time_life_120,log_acclim_time,safety,log_elevation,elev_min,iucn_2104risk,rate_acclimation_c_day,weight_g,realm_general2,acclim_time_original,acclim_time_units,trophic_position,source_logic_for_trophic_position,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,highland_specialist,source_logic_for_highland_specialist,no_acclimation,genus,species,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity.days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km...migratory.only.,season_when_away_100km...migratory.only.,logic_source_season_when_away,data_gatherer,Home.range.size_Km2,logic.source_for_Home.range.size,lifespan_days,lifespan_days_reference,Notes
11,NA,Zhang & Kieffer 2014,Comte,Acipenser brevirostrum,Acipenser brevirostrum_45.3,15,45.3,-66.13,,Acipenser,brevirostrum,Carter's Point Kingston New Brunswick Canada,Aquatic,NA,31.5,tmax,0.91,SD,8,critical,LOE,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
12,NA,Zhang & Kieffer 2014,Comte,Acipenser brevirostrum,Acipenser brevirostrum_45.3,20,45.3,-66.13,,Acipenser,brevirostrum,Carter's Point Kingston New Brunswick Canada,Aquatic,NA,32.8,tmax,1.17,SD,8,critical,LOE,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
13,NA,"Gray, R. H. 1977. Lack of physiological differentiation in three color morphs of the cricket frog Acris crepitans in Illinois. Transactions of the Illinois State Academy of Science 70:73-79.",Rohr,Acris crepitans,Acris crepitans_37.626,23,37.626,-89.498,,Acris,crepitans,"Grand Tower, Illinois",Aquatic,7,39,tmax,NA,NA,10,critical,Onset of spasms,1,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,A,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
14,NA,"Gray, R. H. 1977. Lack of physiological differentiation in three color morphs of the cricket frog Acris crepitans in Illinois. Transactions of the Illinois State Academy of Science 70:73-79.",Rohr,Acris crepitans,Acris crepitans_37.626,23,37.626,-89.498,,Acris,crepitans,"Grand Tower, Illinois",Aquatic,7,39.1,tmax,NA,NA,10,critical,Onset of spasms,1,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,A,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
15,NA,"Gray, R. H. 1977. Lack of physiological differentiation in three color morphs of the cricket frog Acris crepitans in Illinois. Transactions of the Illinois State Academy of Science 70:73-79.",Rohr,Acris crepitans,Acris crepitans_40.514,23,40.514,-88.991,,Acris,crepitans,"Normal, Illinois",Aquatic,7,38.8,tmax,NA,NA,20,critical,Onset of spasms,1,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,B,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
16,NA,"Gray, R. H. 1977. Lack of physiological differentiation in three color morphs of the cricket frog Acris crepitans in Illinois. Transactions of the Illinois State Academy of Science 70:73-79.",Rohr,Acris crepitans,Acris crepitans_40.514,23,40.514,-88.991,,Acris,crepitans,"Normal, Illinois",Aquatic,7,39.5,tmax,NA,NA,10,critical,Onset of spasms,1,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,A,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
17,NA,"Dunlap, D. G. 1968. Critical thermal maximum as a function of temperature of acclimation in two species of hylid frogs. Physiological Zoology 41:432-439.",Rohr,Acris crepitans,Acris crepitans_42.779,4,42.779,-96.929,,Acris,crepitans,"Vermillion, South Dakota",Aquatic,5,40.5,tmax,NA,NA,12,critical,No movements could be elicited by tapping container,0.6,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,B,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,5,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
18,NA,"Dunlap, D. G. 1968. Critical thermal maximum as a function of temperature of acclimation in two species of hylid frogs. Physiological Zoology 41:432-439.",Rohr,Acris crepitans,Acris crepitans_42.779,14,42.779,-96.929,,Acris,crepitans,"Vermillion, South Dakota",Aquatic,5,40.5,tmax,NA,NA,15,critical,No movements could be elicited by tapping container,0.6,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,B,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,5,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
19,NA,"Dunlap, D. G. 1968. Critical thermal maximum as a function of temperature of acclimation in two species of hylid frogs. Physiological Zoology 41:432-439.",Rohr,Acris crepitans,Acris crepitans_42.779,25,42.779,-96.929,,Acris,crepitans,"Vermillion, South Dakota",Aquatic,5,41.1,tmax,NA,NA,10,critical,No movements could be elicited by tapping container,0.6,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,B,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,5,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
20,NA,"Dunlap, D. G. 1968. Critical thermal maximum as a function of temperature of acclimation in two species of hylid frogs. Physiological Zoology 41:432-439.",Rohr,Acris crepitans,Acris crepitans_42.779,35,42.779,-96.929,,Acris,crepitans,"Vermillion, South Dakota",Aquatic,5,43.2,tmax,NA,NA,11,critical,No movements could be elicited by tapping container,0.6,NA,NA,NA,NA,NA,Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,B,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Aquatic & terrestrial,5,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acris,crepitans,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,10-Jan,moved up to 1.3km (amphibiaweb),NA,NA,3.8,SVL - amphibio,NA,NA,NA,NA,NA,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,Nikki,kunk,AmphibiaWeb,1788.5,4.9 years max+ 4 month average (amphibio),NA
