num,reference,in_text
22,"Barlow, G. (1963). Species Structure of the Gobiid Fish Gillichthys mirabilis from Coastal Sloughs of the Eastern Pacific. University of Illinois."," G. Barlow, 1963"
23,"Barlow, G. W. (1958). Daily Movements of Desert Pupfish, Cyprinodon Macularius, in Shore Pools of the Salton Sea, California. Ecology, 39(4), 580–587. https://doi.org/10.2307/1931598"," G. W. Barlow, 1958"
24,"Barriga, J. P., Battini, M. A., & Cussac, V. E. (2007). Annual dynamics variation of a landlocked Galaxias maculatus (Jenyns 1842) population in a Northern Patagonian river: Occurrence of juvenile upstream migration. Journal of Applied Ichthyology, 23(2), 128–135. https://doi.org/10.1111/j.1439-0426.2006.00820.x"," Barriga et al., 2007"
25,"Barton, N. H. (1981). The width of the hybrid zone in caledia captiva. Heredity, 47(2), 279–282. https://doi.org/10.1038/hdy.1981.86"," Barton, 1981"
26,"Basher, L. R., & Lynn, I. H. (1996). Soil changes associated with cessation of sheep grazing in the Canterbury high country, New Zealand. New Zealand Journal of Ecology."," Basher & Lynn, 1996"
27,"Baumberger, K. L., Eitzel, M. V., Kirby, M. E., & Horn, M. H. (2019). Movement and habitat selection of the western spadefoot (Spea hammondii) in southern California. PLoS ONE, 14(10). https://doi.org/10.1371/journal.pone.0222532"," Baumberger et al., 2019"
28,"Bauwens, D. (1981). Survivorship during Hibernation in the European Common Lizard, Lacerta vivipara. Copeia, 1981(3), 741. https://doi.org/10.2307/1444592"," Bauwens, 1981"
29,"Bayona-Vásquez, N. J., Hernández-Álvarez, C. A., Glenn, T., Domínguez-Domínguez, O., Uribe-Alcocer, M., & Díaz-Jaimes, P. (2017). Complete mitogenome sequences of the pacific red snapper (Lutjanus peru) and the spotted rose snapper (Lutjanus gutattus). Mitochondrial DNA Part A: DNA Mapping, Sequencing, and Analysis, 28(2), 223–224. https://doi.org/10.3109/19401736.2015.1115851"," Bayona-Vásquez et al., 2017"
30,"Beatty, S. J., Allen, M. G., Whitty, J. M., Lymbery, A. J., Keleher, J. J., Tweedley, J. R., Ebner, B. C., & Morgan, D. L. (2017). First evidence of spawning migration by goldfish (Carassius auratus); implications for control of a globally invasive species. Ecology of Freshwater Fish, 26(3), 444–455. https://doi.org/10.1111/eff.12288"," Beatty et al., 2017"
31,"Belica, L. A. T., & Rahel, F. J. (2008). Movements of creek chubs, Semotilus atromaculatus, among habitat patches in a plains stream. Ecology of Freshwater Fish, 17(2). https://doi.org/10.1111/j.1600-0633.2007.00277.x"," Belica & Rahel, 2008"
32,"Bellemo, G., Curiel, D., La Rocca, B., Scattolin, M., & Marzocchi, M. (2001). First report of a filamentous species of Desmarestia (Desmarestiaceae, Fucophyceae) in the Lagoon of Venice (Italy, Mediterranean sea). Botanica Marina. https://doi.org/10.1515/BOT.2001.060"," Bellemo et al., 2001"
33,"Berg, O. K., & Berg, M. (1987). Migrations of sea trout, Salmo trutta L., from the Vardnes river in northern Norway. Journal of Fish Biology, 31(1). https://doi.org/10.1111/j.1095-8649.1987.tb05218.x"," Berg & Berg, 1987"
34,"Bergek, S., Franzén, F., Quack, M., Hochkirch, A., Kinitz, T., Prestegaard, T., & Appelberg, M. (2012). Panmixia in Zoarces viviparus: Implications for environmental monitoring studies. Journal of Fish Biology, 80(6). https://doi.org/10.1111/j.1095-8649.2012.03286.x"," Bergek et al., 2012"
35,"Bergek, S., & Olsson, J. (2009). Spatiotemporal analysis shows stable genetic differentiation and barriers to dispersal in the Eurasian perch (Perca fluviatilis L.). Evolutionary Ecology Research, 11(5), 827–840."," Bergek & Olsson, 2009"
36,"Berra, T. M., & Gunning, G. E. (1972). Seasonal Movement and Home Range of the Longear Sunfish, Lepomis megalotis (Rafinesque) in Louisiana. American Midland Naturalist, 88(2), 368. https://doi.org/10.2307/2424361","Berra & Gunning, 1973"
37,"Bessa, E., Dias, J. F., & Souza, A. M. de. (2007). Rare data on a rocky shore fish reproductive biology: sex ratio, length of first maturation and spawning period of Abudefduf saxatilis (Linnaeus, 1758) with notes on Stegastes variabilis spawning period (Perciformes: Pomacentridae) in São Paulo, Brazil. Brazilian Journal of Oceanography, 55(3), 199–206. https://doi.org/10.1590/s1679-87592007000300004"," Bessa et al., 2007"
38,"Beumer, J. P. (1979). Feeding and movement of Anguilla australis and A. reinhardtii in Macleods Morass, Victoria, Australia. Journal of Fish Biology, 14(6), 573–592. https://doi.org/10.1111/j.1095-8649.1979.tb03557.x"," Beumer, 1979"
39,"Biaggini, M. A., Delaugerre, M. I., Cascio, P. I. L. O., & Corti, C. L. (2013). Notes on thermal ecology of Podarcis tiliguerta (Gmelin, 1789) on Lavezzu island. Congresso Nazionale Della Societas Herpetologica Italica, 199–200."," Biaggini et al., 2013"
40,"Bidau, C. J., Martí, D. A., & Baldo, D. (2011). Inter- and Intraspecific Geographic Variation of Body Size in South American Redbelly Toads of the Genus Melanophryniscus Gallardo, 1961 (Anura: Bufonidae). Journal of Herpetology, 45(1), 66. https://doi.org/10.1670/09-202.1"," Bidau et al., 2011"
41,"Binder, T. R., Riley, S. C., Holbrook, C. M., Hansen, M. J., Bergstedt, R. A., Bronte, C. R., He, J., & Krueger, C. C. (2015). Spawning site fidelity of wild and hatchery lake trout (Salvelinus namaycush) in northern Lake Huron. Canadian Journal of Fisheries and Aquatic Sciences, 73(1), 18–34. https://doi.org/10.1139/cjfas-2015-0175"," Binder et al., 2015"
42,"Bishop-Taylor, R., Tulbure, M. G., & Broich, M. (2015). Surface water network structure, landscape resistance to movement and flooding vital for maintaining ecological connectivity across Australia’s largest river basin. Landscape Ecology, 30(10). https://doi.org/10.1007/s10980-015-0230-4"," Bishop-Taylor et al., 2015"
43,"Blain, C., & Gagnon, P. (2013). Interactions between thermal and wave environments mediate intracellular acidity (H2SO4), growth, and mortality in the annual brown seaweed Desmarestia viridis. Journal of Experimental Marine Biology and Ecology. https://doi.org/10.1016/j.jembe.2012.12.013"," Blain & Gagnon, 2013"
44,"Blanchfield, P. J., Tate, L. S., & Podemski, C. L. (2009). Survival and behaviour of rainbow trout (Oncorhynchus mykiss) released from an experimental aquaculture operation. Canadian Journal of Fisheries and Aquatic Sciences, 66(11), 1976–1988. https://doi.org/10.1139/F09-127"," Blanchfield et al., 2009"
45,"Booth, M. T., Hairston, N. G., & Flecker, A. S. (2013). How mobile are fish populations? Diel movement, population turnover, and site fidelity in suckers. Canadian Journal of Fisheries and Aquatic Sciences, 70(5). https://doi.org/10.1139/cjfas-2012-0334"," Booth et al., 2013"
46,"Bradbury, I. R., Campana, S. E., & Bentzen, P. (2008). Otolith elemental composition and adult tagging reveal spawning site fidelity and estuarine dependency in rainbow smelt. Marine Ecology Progress Series, 368, 255–268. https://doi.org/10.3354/meps07583"," Bradbury et al., 2008"
47,"Braithwaite, V. A., & De Perera, T. B. (2006). Short-range orientation in fish: How fish map space. Marine and Freshwater Behaviour and Physiology, 39(1), 37–47. https://doi.org/10.1080/10236240600562844"," Braithwaite & De Perera, 2006"
48,"Brandon, R. A., & Huheey, J. E. (1971). Movements and Interactions of Two Species of Desmognathus (Amphibia: Plethodontidae). American Midland Naturalist, 86(1), 86. https://doi.org/10.2307/2423688"," Brandon & Huheey, 1971"
49,"Brannelly, L. A., Webb, R., Skerratt, L. F., & Berger, L. (2016). Amphibians with infectious disease increase their reproductive effort: Evidence for the terminal investment hypothesis. Open Biology, 6(6). https://doi.org/10.1098/rsob.150251"," Brannelly et al., 2016"
50,"Breen, M. J., Ruetz, C. R., Thompson, K. J., & Kohler, S. L. (2009). Movements of mottled sculpins (Cottus bairdii) in a Michigan stream: How restricted are they? Canadian Journal of Fisheries and Aquatic Sciences, 66(1), 31–41. https://doi.org/10.1139/F08-189"," Breen et al., 2009"
51,"Bridcut, E. E., & Giller, P. S. (1993). Movement and site fidelity in young brown trout Salmo trutta populations in a southern Irish stream. Journal of Fish Biology, 43(6), 889–899. https://doi.org/10.1111/j.1095-8649.1993.tb01163.x"," Bridcut & Giller, 1993"
52,"Bridger, C. J., Booth, R. K., Mckinley, R. S., & Scruton, D. A. (2001). Site fidelity and dispersal patterns of domestic triploid steelhead trout (Oncorhynchus mykiss Walbaum) released to the wild. ICES Journal of Marine Science, 58(2). https://doi.org/10.1006/jmsc.2000.1041"," Bridger et al., 2001"
53,"Brightwell, R., Dransfield, R. D., Stevenson, P., & Williams, B. (1997). Changes over twelve years in populations of Glossina pallidipes and Glossina longipennis (Diptera: Glossinidae) subject to varying trapping pressure at Nguruman, south-west Kenya. Bulletin of Entomological Research, 87(4), 349–370. https://doi.org/10.1017/s0007485300037378"," Brightwell et al., 1997"
54,"Brightwell, R., Dransfield, R. D., & Williams, B. G. (1992). Factors affecting seasonal dispersal of the tsetse flies Glossina pallidipes and G. longipennis (Diptera: Glossinidae) at Nguruman, south-west Kenya. Bulletin of Entomological Research, 82(2). https://doi.org/10.1017/S0007485300051695"," Brightwell et al., 1992"
55,"Brodnik, R. M., Fraker, M. E., Anderson, E. J., Carreon-Martinez, L., Devanna, K. M., Heath, D. D., Reichert, J. M., Roseman, E. F., & Ludsin, S. A. (2015). Larval dispersal underlies demographically important intersystem connectivity in a great lakes yellow perch (Perca flavescens) population. Canadian Journal of Fisheries and Aquatic Sciences, 73(3). https://doi.org/10.1139/cjfas-2015-0161"," Brodnik et al., 2015"
56,"Brogan, M. W. (1992). Ecology of larval fishes around reefs in the Gulf of California, Mexico. University of Arizona."," Brogan, 1992"
57,"Bronte, C. R., Holey, M. E., Madenjian, C. P., Jonas, J. L., Claramunt, R. M., McKee, P. C., Toneys, M. L., Ebener, M. P., Breidert, B., Fleischer, G. W., Hess, R., Martell, A. W., & Olsen, E. J. (2007). Relative Abundance, Site Fidelity, and Survival of Adult Lake Trout in Lake Michigan from 1999 to 2001: Implications for Future Restoration Strategies. North American Journal of Fisheries Management, 27(1), 137–155. https://doi.org/10.1577/m05-214.2"," Bronte et al., 2007"
58,"Brøseth, H., Tufto, J., Pedersen, H. C., Steen, H., & Kastdalen, L. (2005). Dispersal patterns in a harvested willow ptarmigan population. Journal of Applied Ecology, 42(3). https://doi.org/10.1111/j.1365-2664.2005.01031.x"," Brøseth et al., 2005"
59,"Brouder, M. J., Rogers, D. D., & Avenetti, L. D. (2000). Life History and ecology of the Roundtail Chub Bila robusta, from two streams in the Verde River Basin (Vol. 3). AZTNC Science Files"," Brouder et al., 2000"
60,"Brown, C. S., Mark, A. F., Kershaw, G. P., & Dickinson, K. J. M. (2006). Secondary succession 24 years after disturbance of a New Zealand high-alpine cushionfield. Arctic, Antarctic, and Alpine Research, 38(3), 325–334. https://doi.org/10.1657/1523-0430(2006)38[325:SSYADO]2.0.CO;2"," C. S. Brown et al., 2006"
61,"Brown, D. E., & Minnich, R. A. (1986). Fire and Changes in Creosote Bush Scrub of the Western Sonoran Desert, California. American Midland Naturalist, 116(2), 411. https://doi.org/10.2307/2425750"," D. E. Brown & Minnich, 1986"
62,"Brown, D. R., Clark, B. W., Garner, L. V. T., & Di Giulio, R. T. (2016). Embryonic cardiotoxicity of weak aryl hydrocarbon receptor agonists and CYP1A inhibitor fluoranthene in the Atlantic killifish (Fundulus heteroclitus). Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology, 188, 45–51. https://doi.org/10.1016/j.cbpc.2016.05.005"," D. R. Brown et al., 2016"
63,"Brown, J. H., Hammer, U. T., & Koshinsky, G. D. (1970). Breeding Biology of the Lake Chub, Couesius plumbeus , at Lac la Ronge, Saskatchewan. Journal of the Fisheries Research Board of Canada, 27(6), 1005–1015. https://doi.org/10.1139/f70-117"," J. H. Brown et al., 1970"
64,"Bruylants, B., Vandelannoote, A., & Verheyen, R. (1986). The movement pattern and density distribution of perch, Perca fluviatilis L., in a channelized lowland river. Aquaculture Research, 17(1), 49–57. https://doi.org/10.1111/j.1365-2109.1986.tb00084.x"," Bruylants et al., 1986"
65,"Buckmeier, D. L. (2008). Life History and Status of Alligator Gar Atractosteus spatula, with Recommendations for Management."," Buckmeier, 2008"
66,"Buckmeier, D. L., Smith, N. G., & Daugherty, D. J. (2013). Alligator gar movement and macrohabitat use in the lower trinity river, texas. Transactions of the American Fisheries Society, 142(4), 1025–1035. https://doi.org/10.1080/00028487.2013.797494"," Buckmeier et al., 2013"
67,"Bustard, D. R., & Narver, D. W. (1975). Aspects of the Winter Ecology of Juvenile Coho Salmon (Oncorhynchus kisutch) and Steelhead Trout (Salmo gairdneri). Journal of the Fisheries Research Board of Canada, 32(5), 667–680. https://doi.org/10.1139/f75-086"," Bustard & Narver, 1975"
68,"Buzby, K. M., & Deegan, L. A. (2000). Inter-annual fidelity to summer feeding sites in Arctic grayling. Environmental Biology of Fishes, 59(3), 319–327. https://doi.org/10.1023/A:1007626507936"," Buzby & Deegan, 2000"
69,"Calì, F., Riginella, E., La Mesa, M., & Mazzoldi, C. (2017). Life history traits of Notothenia rossii and N. coriiceps along the southern Scotia Arc. Polar Biology, 40(7). https://doi.org/10.1007/s00300-016-2066-z"," Calì et al., 2017"
70,"Camp, C. D., & Lee, T. P. (1996). Intraspecific Spacing and Interaction within a Population of Desmognathus quadramaculatus. Copeia, 1996(1), 78–84. https://doi.org/10.2307/1446943"," Camp & Lee, 1996"
71,"Campbell, A. D. (1980). Flowering records for Chionochloa, Aciphylla, and Celmisia species in the craigieburn range, South Island, New Zealand. New Zealand Journal of Botany, 18(4), 97–103. https://doi.org/10.1080/0028825X.1981.10425192"," A. D. Campbell, 1980"
72,"Campbell, H. A., Fraser, K. P. P., Bishop, C. M., Peck, L. S., & Egginton, S. (2008). Hibernation in an Antarctic fish: On ice for winter. PLoS ONE. https://doi.org/10.1371/journal.pone.0001743"," H. A. Campbell et al., 2008"
73,"Carthew, S. M., Horner, B., & Jones, K. M. W. (2009). Do utility corridors affect movements of small terrestrial fauna? Wildlife Research, 36(6), 488–495. https://doi.org/10.1071/WR08090"," Carthew et al., 2009"
74,"Carvalho, J. E., Navas, C. A., & Pereira, I. C. (2010). Energy and water in aestivating amphibians. In Progress in molecular and subcellular biology (Vol. 49, pp. 141–169). https://doi.org/10.1007/978-3-642-02421-4_7"," J. E. Carvalho et al., 2010"
75,"Carvalho, M. G., Moreira, C., Queiroga, H., Santos, P. T., & Correia, A. T. (2017). Age, growth and sex of the shanny, Lipophrys pholis (Linnaeus, 1758) (Teleostei, Blenniidae), from the NW coast of Portugal. Journal of Applied Ichthyology, 33(2). https://doi.org/10.1111/jai.13307"," M. G. Carvalho et al., 2017"
76,"Hulse, A. C. (1992). Dipsosaurus, D. dorsalis. Catalogue of American Amphibians and Reptiles. https://doi.org/10.1111/j.1558-5646.1965.tb01719.x","Hulse, 1992"
77,"Cecala, K. K., & Maerz, J. C. (2015). Context-dependent responses to light contribute to responses by Black-bellied Salamanders (Desmognathus quadramaculatus) to landscape disturbances. Canadian Journal of Zoology, 94(1), 7–13. https://doi.org/10.1139/cjz-2015-0111"," Cecala & Maerz, 2015"
78,"Chambers, J. C., Germino, M. J., Belnap, J., Brown, C. S., Schupp, E. W., & Clair, S. B. St. (2016). Plant Community Resistance to Invasion by Bromus Species: The Roles of Community Attributes, Bromus Interactions with Plant Communities, and Bromus Traits. https://doi.org/10.1007/978-3-319-24930-8_10"," Chambers et al., 2016"
79,"Chammas, S. M., Carneiro, S. M., Ferro, R. S., Antoniazzi, M. M., & Jared, C. (2015). Development of integument and cutaneous glands in larval, juvenile and adult toads (Rhinella granulosa): A morphological and morphometric study. Acta Zoologica, 96(4). https://doi.org/10.1111/azo.12091"," Chammas et al., 2015"
80,"Chan, H. K., Shoemaker, K. T., & Karraker, N. E. (2014). Demography of Quasipaa frogs in China reveals high vulnerability to widespread harvest pressure. Biological Conservation, 170, 3–9. https://doi.org/10.1016/j.biocon.2013.12.014"," Chan et al., 2014"
81,"Chandrasekar, S., Sivakumar, R., Mathialagan, R., Subburaj, J., & Thangaraj, M. (2019). Population genetic structure of Etroplus suratensis Bloch, 1790 in South India: preliminary evidence of founder haplotypes shared among populations. Journal of Asia-Pacific Biodiversity, 12(3), 376–381. https://doi.org/10.1016/j.japb.2019.03.001"," Chandrasekar et al., 2019"
82,"Chang, C. W., & Iizuka, Y. (2012). Estuarine use and movement patterns of seven sympatric Mugilidae fishes: The Tatu Creek estuary, central western Taiwan. Estuarine, Coastal and Shelf Science, 106, 121–126. https://doi.org/10.1016/j.ecss.2012.04.023"," C. W. Chang & Iizuka, 2012"
83,"Chang, M. Y., Wang, C. H., You, C. F., & Tzeng, W. N. (2006). Individual-based dispersal patterns of larval gobies in an estuary as indicated by otolith elemental fingerprints. Scientia Marina, 70(SUPPL. 2), 165–174. https://doi.org/10.3989/scimar.2006.70s2165"," M. Y. Chang et al., 2006"
84,"Chang, Y. H., Wu, B. Y., Chuang, T. F., & Lu, H. ling. (2017). The design method for concrete waterfront amphibian ladder along streams. Ecological Engineering, 106, 66–74. https://doi.org/10.1016/j.ecoleng.2017.05.019"," Y. H. Chang et al., 2017"
85,"Chapman, A. R. O., & Burrows, E. M. (1971). Field and culture studies of Desmarestia aculeata (L.) Lamour. Phycologia, 10(1), 63–76. https://doi.org/10.2216/i0031-8884-10-1-63.1"," Chapman & Burrows, 1971"
86,"Chenoweth, S. F., Hughes, J. M., Keenan, C. P., & Lavery, S. (1998). Concordance between dispersal and mitochondrial gene flow: isolation by distance in a tropical teleost, Lates calcarifer (Australian barramundi). Heredity, 80(2), 187–197. https://doi.org/10.1046/j.1365-2540.1998.00292.x"," Chenoweth et al., 1998"
87,"Chilton, E. W., & Poarch, S. M. (1997). Distribution and Movement Behavior of Radio-Tagged Grass Carp in Two Texas Reservoirs. Transactions of the American Fisheries Society, 126(3). https://doi.org/10.1577/1548-8659(1997)126<0467:dambor>2.3.co;2"," Chilton & Poarch, 1997"
88,"Chisnall, B. L., & Kalish, J. M. (1993). Age validation and movement of freshwater eels (Anguilla dieffenbachii and A. australis) in a New Zealand pastoral stream. New Zealand Journal of Marine and Freshwater Research, 27(3), 333–338. https://doi.org/10.1080/00288330.1993.9516573"," Chisnall & Kalish, 1993"
89,"Chown, S. L., & Klok, C. J. (2001b). Habitat use, diet and body size of Heard Island weevils. Polar Biology, 24(9), 706–712. https://doi.org/10.1007/s003000100281"," Chown & Klok, 2001b"
90,"Choy, E. S., Hodson, P. V., Campbell, L. M., Fowlie, A. R., & Ridal, J. (2008). Spatial and temporal trends of mercury concentrations in young-of-the-year spottail shiners (Notropis hudsonius) in the St. Lawrence River at Cornwall, ON. Archives of Environmental Contamination and Toxicology, 54(3), 473–481. https://doi.org/10.1007/s00244-007-9040-2"," Choy et al., 2008"
91,"Chung, L. N., Cuc, N. T. K., Ngoc, T. A., Nam, N. T., Son, L. V., & On, T. V. (2017). Required flows for aquatic ecosystems in Ma River, Vietnam. International Journal of Environment, Agriculture and Biotechnology. https://doi.org/10.22161/ijeab/2.6.37"," Chung et al., 2017"
92,"Clobert, J., Garland, T., & Barbault, R. (1998). The evolution of demographic tactics in lizards: A test of some hypotheses concerning life history evolution. Journal of Evolutionary Biology. https://doi.org/10.1007/s000360050092"," Clobert et al., 1998"
93,"Clutton-Brock, T., & Langley, P. (1997). Persistent courtship reduces male and female longevity in captive tsetse flies Glossina morsitans morsitans westwood (Diptera: Glossinidae). Behavioral Ecology. https://doi.org/10.1093/beheco/8.4.392"," Clutton-Brock & Langley, 1997"
94,"Cocheret De La Morinière, E., Pollux, B. J. A., Nagelkerken, I., & Van Der Velde, G. (2002). Post-settlement life cycle migration patterns and habitat preference of coral reef fish that use seagrass and mangrove habitats as nurseries. Estuarine, Coastal and Shelf Science, 55(2), 309–321. https://doi.org/10.1006/ecss.2001.0907"," Cocheret De La Morinière et al., 2002"
95,"Cochran, D. M. (1941). The herpetology of Hispaniola. Bulletin of the United States National Museum, 177, i–398. https://doi.org/10.5479/si.03629236.177.i"," Cochran, 1941"
96,"Cole, B. J., & Haight, K. (2001). Distribution of Myrmecocystus mexicanus ( Hymenoptera : Formicidae ): Association with Pogonomyrmex occidentalis ( Hymenoptera : Formicidae ). October, 94(1), 59–63. https://doi.org/10.1603/0013-8746(2001)094[0059:dommhf]2.0.co;2"," Cole & Haight, 2001"
97,"Conant, R., & Collins, J. T. (1998). A Field Guide to Reptiles & Amphibians: Eastern and Central North America (R. T. Peterson (Ed.); 3rd ed.). Houghton Mifflin."," Conant & Collins, 1998"
98,"Connor, H. E. (1963). Growth of flowering stems in five New Zealand Tussock grasses. New Zealand Journal of Botany. https://doi.org/10.1080/0028825X.1963.10429325"," Connor, 1963"
99,"Cooke, S. J., & McKinley, R. S. (1999). Winter residency and activity patterns of channel catfish, Ictalurus punctatus (Rafinesque), and common carp, Cyprinus carpio L., in a thermal discharge canal. Fisheries Management and Ecology, 6(6), 515–526. https://doi.org/10.1046/j.1365-2400.1999.00175.x"," Cooke & McKinley, 1999"
100,"Corbett, P. A., King, C. K., Stark, J. S., & Mondon, J. A. (2014). Direct evidence of histopathological impacts of wastewater discharge on resident Antarctic fish (Trematomus bernacchii) at Davis Station, East Antarctica. Marine Pollution Bulletin, 87(1), 48–56. https://doi.org/10.1016/j.marpolbul.2014.08.012"," Corbett et al., 2014"
101,COSEWIC. (2008). COSEWIC assessment and update status report on the Western Chorus Frog Pseudacris triseriata Carolinian population and Great Lakes/St. Lawrence – Canadian Shield population in Canada.," COSEWIC, 2008"
102,"Coyne, J. A., & Milstead, B. (1987). Long-distance migration of Drosophila. 3. Dispersal of D. melanogaster alleles from a Maryland orchard. American Naturalist, 130(1), 70–82. https://doi.org/10.1086/284698"," Coyne & Milstead, 1987"
103,"Crawshaw, L. I. (1984). Low-temperature dormancy in fish. American Journal of Physiology - Regulatory Integrative and Comparative Physiology, 15(4). https://doi.org/10.1152/ajpregu.1984.246.4.r479"," Crawshaw, 1984"
104,"Le Cren, E. D. (1951). The Length-Weight Relationship and Seasonal Cycle in Gonad Weight and Condition in the Perch (Perca fluviatilis). The Journal of Animal Ecology, 20(2), 201–219. https://doi.org/10.2307/1540"," Le Cren, 1951"
105,"Crook, D. A., Macdonald, J. I., & Raadik, T. A. (2008). Evidence of diadromous movements in a coastal population of southern smelts (Retropinninae: Retropinna) from Victoria, Australia. Marine and Freshwater Research, 59(7), 638–646. https://doi.org/10.1071/MF07238"," Crook et al., 2008"
106,"Cussac, V., & Ortubay, S. (2002). Gametogenesis and development of Gymnocharacinus bergi (Pisces, Characidae): Reproductive mode relative to environmental stability. Environmental Biology of Fishes, 63(3), 289–297. https://doi.org/10.1023/A:1014396327117"," Cussac & Ortubay, 2002"
107,"Damerau, M., Matschiner, M., Salzburger, W., & Hanel, R. (2014). Population divergences despite long pelagic larval stages: Lessons from crocodile icefishes (channichthyidae). Molecular Ecology, 23(2), 284–299. https://doi.org/10.1111/mec.12612"," Damerau et al., 2014"
108,"Davis, J. (1967). Growth and Size of the Western Fence Lizard (Sceloporus occidentalis). Copeia, 1967(4), 721. https://doi.org/10.2307/1441881"," Davis, 1967"
