"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","logic_source_for_dispersal_distance2","Notes","genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference","is.nocturnal","is.nocturnal_source","mean_yearly_max_temp","experienced_mean_yearly_max_temp"
380,"Catostomus clarkii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Deacon et al. 1987","Comte","Catostomus clarkii_34.048927_NA_-111.093735",10,34.048927,-111.093735,"inferred","Catostomus","clarkii","Virgin River Utha US",14,32.2,"tmax",0.64,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Catostomus","clarkii","730","NatureServe, 2020","730","NatureServe, 2020","Y","0-1","Booth et al., 2013",33,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.022-0.53","Booth et al., 2013","Azenor/Nikki","3650","NatureServe, 2020",NA,NA,28.4402099609375,28.4402099609375
388,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34",5,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,26.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015",NA,NA,24.8923674149947,24.8923674149947
410,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Beitinger et al. 2000","Comte","Catostomus commersonii_39.279_NA_-91.155",26,39.279,-91.155,"inferred","Catostomus","commersonii","centroid of Salt River, Cuivre River, Missouri, United States",NA,34.9,"tmax",0.25,"SD",5,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",65,"Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015",NA,NA,28.7974126642401,28.7974126642401
459,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2",21.5,36.16,-105.2,"","Chrosomus","erythrogaster","Little Coyote Creek Colfax New Mexico US",NA,32.33,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Chrosomus","erythrogaster","365","NatureServe, 2020","365","NatureServe, 2020","","0-1","Walker et al., 2013",9.1,"Froese & Pauly, 2000","5.8","Froese & Pauly, 2000","5.8","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","","Walker et al., 2013","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020",NA,NA,17.5032280661843,17.5032280661843
465,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Beitinger et al. 2000","Comte","Chrosomus erythrogaster_38.189801_NA_-91.908238",26,38.189801,-91.908238,"inferred","Chrosomus","erythrogaster","Gasconade River, Missouri, United States",NA,35.9,"tmax",0.42,"SD",12,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Chrosomus","erythrogaster","365","NatureServe, 2020","365","NatureServe, 2020","","0-1","Walker et al., 2013",9.1,"Froese & Pauly, 2000","5.8","Froese & Pauly, 2000","5.8","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","","Walker et al., 2013","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020",NA,NA,29.1581956343217,29.1581956343217
466,"Coregonus artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_NA_-83.98",2,42.41,-83.98,"","Coregonus","artedi","Pickerel Lake Michigan US",NA,19.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Coregonus","artedi","365","Meyers et al., 2015","365","Meyers et al., 2015","Y","10-100","E. M. George et al., 2018;Oyadomari & Auer, 2008;Meyers et al., 2015",57,"Froese & Pauly, 2000","29.3","Froese & Pauly, 2000","29.3","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Winter",NA,"Meyers et al., 2015;Morin et al., 1981","unk","","Nikki","4745","Meyers et al., 2015",NA,NA,23.9103096701882,23.9103096701882
482,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus bairdii_34.19_NA_-84.95",10,34.19,-84.95,"","Cottus","bairdii","Etowah River Georgia US",7,29.56,"tmax",1.08,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Cottus","bairdii","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","Meyers et al., 2015",15,"Froese & Pauly, 2000","8.4","Froese & Pauly, 2000","8.4","Froese & Pauly, 2000","Y","","Breen et al., 2009","non-migratory","IUCN, 2020",NA,NA,"","0.0000196","Meyers et al., 2015","Nikki","730","Froese & Pauly, 2000",NA,NA,19.7564109108665,19.7564109108665
486,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Kowaski et al. 1978","Comte","Cottus bairdii_42.6_NA_-78.47",15,42.6,-78.47,"","Cottus","bairdii","Buffalo Creek, Erie County, New York, United States",28,30.9,"tmax",0.33,"SD",10,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","28","days",NA,NA,NA,"Cottus","bairdii","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","Meyers et al., 2015",15,"Froese & Pauly, 2000","8.4","Froese & Pauly, 2000","8.4","Froese & Pauly, 2000","Y","","Breen et al., 2009","non-migratory","IUCN, 2020",NA,NA,"","0.0000196","Meyers et al., 2015","Nikki","730","Froese & Pauly, 2000",NA,NA,20.8822355790572,20.8822355790572
487,"Cottus carolinae","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus carolinae_34.6_NA_-84.7",10,34.6,-84.7,"","Cottus","carolinae","Coosawattee River Georgia US",7,29.06,"tmax",0.97,"SD",15,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Cottus","carolinae","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","Wells et al., 2017",18,"Froese & Pauly, 2000","9.5","Froese & Pauly, 2000","9.5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.000042","NatureServe, 2020","Nikki","1460","NatureServe, 2020",NA,NA,28.3670350508256,28.3670350508256
491,"Cottus carolinae","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus carolinae_40.03_NA_-76.27",10,40.03,-76.27,"","Cottus","carolinae","Conasauga River Georgia US",7,28.69,"tmax",1.33,"SD",9,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Cottus","carolinae","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","Wells et al., 2017",18,"Froese & Pauly, 2000","9.5","Froese & Pauly, 2000","9.5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.000042","NatureServe, 2020","Nikki","1460","NatureServe, 2020",NA,NA,18.7478694568981,18.7478694568981
523,"Couesius plumbeus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Darveau et al. 2012","Comte","Couesius plumbeus_51.38_NA_-121.26",5,51.38,-121.26,"","Couesius","plumbeus","Green Lake British Columbia Canada",60,26.23,"tmax",NA,"SD",11,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","60","days",NA,NA,NA,"Couesius","plumbeus","1095","Meyers et al., 2015","1095","Meyers et al., 2015","Y","1-10","Debruyn, 2014",23,"Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","Y","","","migratory","Debruyn, 2014","Spring-Summer",NA,"Debruyn, 2014","8.042","Meyers et al., 2015","Nikki","2555","Froese & Pauly, 2000;Meyers et al., 2015",NA,NA,21.625539744984,21.625539744984
527,"Couesius plumbeus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Darveau et al. 2012","Comte","Couesius plumbeus_59.4_NA_-133.58",5,59.4,-133.58,"","Couesius","plumbeus","Atlin Warm Spring British Columbia Canada",60,25.87,"tmax",NA,"SD",11,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","60","days",NA,NA,NA,"Couesius","plumbeus","1095","Meyers et al., 2015","1095","Meyers et al., 2015","Y","1-10","Debruyn, 2014",23,"Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","Y","","","migratory","Debruyn, 2014","Spring-Summer",NA,"Debruyn, 2014","8.042","Meyers et al., 2015","Nikki","2555","Froese & Pauly, 2000;Meyers et al., 2015",NA,NA,13.6674473155629,13.6674473155629
529,"Couesius plumbeus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Darveau et al. 2012","Comte","Couesius plumbeus_59.43_NA_-126.09",5,59.43,-126.09,"","Couesius","plumbeus","Liard Hot Spring British Columbia Canada",60,26.73,"tmax",0.59,"SD",11,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","60","days",NA,NA,NA,"Couesius","plumbeus","1095","Meyers et al., 2015","1095","Meyers et al., 2015","Y","1-10","Debruyn, 2014",23,"Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","Y","","","migratory","Debruyn, 2014","Spring-Summer",NA,"Debruyn, 2014","8.042","Meyers et al., 2015","Nikki","2555","Froese & Pauly, 2000;Meyers et al., 2015",NA,NA,0.897372297807196,0.897372297807196
567,"Ctenopharyngodon idella","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Ctenopharyngodon idella_26.47_NA_99.15",15,26.47,99.15,"","Ctenopharyngodon","idella","Dahuofang reservoir Yingpan China",NA,28.8,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ctenopharyngodon","idella","1520","De Magalhães & Costa, 2009","1460","De Magalhães & Costa, 2009","","10-100","Nixon & Miller, 1978;Froese & Pauly, 2000;A. E. George & Chapman, 2015",150,"Froese & Pauly, 2000","10.7","Froese & Pauly, 2000","10.7","Froese & Pauly, 2000","Y","","Nixon & Miller, 1978","non-migratory","NatureServe, 2020",NA,NA,"","32.32","Chilton & Poarch, 1997","Nikki","7665","Froese & Pauly, 2000;NatureServe, 2020",NA,NA,7.88559251265095,7.88559251265095
580,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"King et al. 1985","Comte","Cyprinella lutrensis_33.06_NA_-101.04",25,33.06,-101.04,"","Cyprinella","lutrensis","Brazos River Texas US",28,37.99,"tmax",0.4,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","28","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,23.1090817538175,23.1090817538175
585,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Rutledge & Beitinger 1989","Comte","Cyprinella lutrensis_33.17_NA_-97.32",30,33.17,-97.32,"","Cyprinella","lutrensis","Denton Creek Denton County Texas US",14,39.65,"tmax",0.23,"SD",10,"critical","LOE","0.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,28.5454040527344,28.5454040527344
587,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Matthews & Maness 1979","Comte","Cyprinella lutrensis_34.86_NA_-96.73",25,34.86,-96.73,"","Cyprinella","lutrensis","South Canadian River",14,38.99,"tmax",0.16,"SD",10,"critical","OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,30.3174779718573,30.3174779718573
588,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Cyprinella lutrensis_35.66_NA_-97.47",10,35.66,-97.47,"","Cyprinella","lutrensis","Central Oklahoma US",14,30.7,"tmax",1.01,"SD",20,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,28.2693670099432,28.2693670099432
590,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Deacon et al. 1987","Comte","Cyprinella lutrensis_37.2_NA_-113.26",10,37.2,-113.26,"","Cyprinella","lutrensis","Virgin River Utha US",14,30.1,"tmax",1.05,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,24.5716352982955,24.5716352982955
593,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Manness & Hutchison 1980","Comte","Cyprinella lutrensis_37.91_NA_-122.06",15,37.91,-122.06,"","Cyprinella","lutrensis","Walnut Creek McClain County Oklahoma US",7,31.96,"tmax",0.94,"SD",82,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,17.7237897005948,17.7237897005948
594,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Carveth et al. 2006","Comte","Cyprinella lutrensis_32.874_NA_-110.809",25,32.874,-110.809,"inferred","Cyprinella","lutrensis","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,39.5,"tmax",0.53,"SD",12,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,30.117353404652,30.117353404652
600,"Cyprinella lutrensis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Beitinger et al. 2000","Comte","Cyprinella lutrensis_33.21295_NA_-97.118531",22,33.21295,-97.118531,"inferred","Cyprinella","lutrensis","Denton County, Texas, United States",NA,36.2,"tmax",0.49,"SD",12,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Cyprinella","lutrensis","365","NatureServe, 2020","365","NatureServe, 2020","","unk","",9,"Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000",NA,NA,28.5454040527344,28.5454040527344
