Family,Species,Location,Latitude,Longitude,Sampling Habitat,Acclimation,Temperature of acclimation (°C),Length acclimation period (days),Rate acclimation (°C/day),Methodology,Endpoint,Heating rate (°C/min),Length experiment (min),Body length (mm),Weight (g),Life stage,Thermal limit (°C),SD Thermal limit,Nindividuals,Phylogeny,Realm affinity,Source,Reference
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,static,death,1,NA,NA,NA,NA,39.56,0.18,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,20,NA,NA,dynamic,OS,1,NA,NA,NA,NA,39.75,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,25,NA,NA,dynamic,OS,1,NA,NA,NA,NA,40.5,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,dynamic,OS,1,NA,NA,NA,NA,42,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,30,NA,NA,dynamic,OS,1,NA,NA,NA,NA,43,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,35,NA,NA,dynamic,OS,1,NA,NA,NA,NA,43.5,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,20,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,38.5,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,25,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,39.5,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,41,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,30,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,42,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,35,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,42.75,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,20,NA,NA,static,death,NA,1440,NA,NA,NA,37.53,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,25,NA,NA,static,death,NA,1440,NA,NA,NA,38.6,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,static,death,NA,1440,NA,NA,NA,39.56,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,30,NA,NA,static,death,NA,1440,NA,NA,NA,40.47,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,35,NA,NA,static,death,NA,1440,NA,NA,NA,41.55,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,22,4,NA,static,death,NA,5e3,100.00,NA,juveniles,36.94,0.13,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,26,4,NA,static,death,NA,5e3,100.00,NA,juveniles,37.72,0.16,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,28,4,NA,static,death,NA,5e3,100.00,NA,juveniles,37.91,0.13,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,29,4,NA,static,death,NA,5e3,100.00,NA,juveniles,37.91,0.13,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,30,4,NA,static,death,NA,5e3,100.00,NA,juveniles,37.59,0.49,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,32,4,NA,static,death,NA,5e3,100.00,NA,juveniles,38.07,0.08,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,34,4,NA,static,death,NA,5e3,100.00,NA,juveniles,38.26,0.17,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.3,Freshwater,experimental,36,4,NA,static,death,NA,5e3,100.00,NA,juveniles,38.22,0.19,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Florida,27.89,-81.41,Freshwater,experimental,25,10,1,static,death,NA,1e4,NA,NA,juveniles,37.7,NA,170,yes,Freshwater,Stauffer 1986,188
Cirrhitidae,Cirrhitichthys oxycephalus,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.5,1,NA,dynamic,LOE,0.02,NA,50.00,NA,NA,37.57,0.2,38,no,Marine,Mora & Ospína 2001,137
Cirrhitidae,Cirrhitichthys oxycephalus,Gorgona Island reefs Columbia,2.99,-78.2,Marine,experimental,26.5,1,NA,dynamic,death,0.02,NA,50.68,NA,NA,35.78,0.19,29,no,Marine,Ospína & Mora 2004,146
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,5,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,24.68,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,26.8,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,28.94,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,29.51,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,29.88,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,15,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,29.73,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,15,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,29.99,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,31.15,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,31.36,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,33.37,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,25,3,1,dynamic,LOE,0.3,NA,NA,NA,adults,32.86,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,5,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,24.44,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,5,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,24.98,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,23.76,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,27.52,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,28.24,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,15,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,29.74,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,31.01,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,31.77,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,32.28,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,32.75,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,32.97,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,25,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,34.31,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,30,3,1,dynamic,LOE,0.3,NA,NA,NA,juveniles,36.84,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,12,NA,NA,static,death,NA,5760,NA,NA,juveniles,28.3,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20,NA,NA,static,death,NA,5760,NA,NA,juveniles,32.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,26,NA,NA,static,death,NA,5760,NA,NA,juveniles,34.4,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa pseudoharengus,Lake Erie,42.08,-81.34,Freshwater,collection,18.2,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,30.2,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Dorosoma cepedianum,Put-in Bay Ohio US,41.65,-82.83,Freshwater,experimental,25,NA,NA,static,death,NA,5760,NA,NA,NA,34,NA,NA,yes,Freshwater,Hart 1952,84
Clupeidae,Dorosoma cepedianum,Put-in Bay Ohio US,41.65,-82.83,Freshwater,experimental,30,NA,NA,static,death,NA,5760,NA,NA,NA,36,NA,NA,yes,Freshwater,Hart 1952,84
Clupeidae,Dorosoma cepedianum,Put-in Bay Ohio US,41.65,-82.83,Freshwater,experimental,35,NA,NA,static,death,NA,5760,NA,NA,NA,36.5,NA,NA,yes,Freshwater,Hart 1952,84
Clupeidae,Dorosoma cepedianum,Knoxville Tenesee US,35.96,-83.92,Freshwater,experimental,25,NA,NA,static,death,NA,5760,NA,NA,NA,34.6,NA,NA,yes,Freshwater,Hart 1952,84
Clupeidae,Dorosoma cepedianum,Knoxville Tenesee US,35.96,-83.92,Freshwater,experimental,30,NA,NA,static,death,NA,5760,NA,NA,NA,35.8,NA,NA,yes,Freshwater,Hart 1952,84
Clupeidae,Dorosoma cepedianum,Mississippi River US,38.34,-90.37,Freshwater,collection,31,NA,NA,static,death,0.07,2880,43.00,1,juveniles,28.5,NA,20,yes,Freshwater,Cvancara et al. 1977,49
Clupeidae,Dorosoma cepedianum,Lake Erie,42.08,-81.34,Freshwater,collection,15.9,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,31.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Sardinops sagax,Bahia Ensenada Mexico,31.86,-116.6,Marine,experimental,18,NA,NA,static,death,NA,NA,200.00,71,NA,24.3,0,6,yes,Marine,Martínez-Porchas et al. 2009,127
Clupeidae,Sardinops sagax,Bahia Ensenada Mexico,31.86,-116.6,Marine,experimental,23,NA,NA,static,death,NA,NA,200.00,71,NA,25.6,0.2,6,yes,Marine,Martínez-Porchas et al. 2009,127
Clupeidae,Sardinops sagax,Ensenada Baja California Mexico,31.86,-116.6,Marine,experimental,18,20,NA,dynamic,OS,1,NA,NA,NA,NA,28.1,2,12,yes,Marine,Martínez-Porchas & Hernández-Rodríguez 2010,126
Clupeidae,Sardinops sagax,Ensenada Baja California Mexico,31.86,-116.6,Marine,experimental,18,20,NA,dynamic,LOE,1,NA,NA,NA,NA,30.5,1.1,12,yes,Marine,Martínez-Porchas & Hernández-Rodríguez 2010,126
Clupeidae,Sardinops sagax,Ensenada Baja California Mexico,31.86,-116.6,Marine,experimental,23,20,NA,dynamic,OS,1,NA,NA,NA,NA,28.8,1.8,12,yes,Marine,Martínez-Porchas & Hernández-Rodríguez 2010,126
Clupeidae,Sardinops sagax,Ensenada Baja California Mexico,31.86,-116.6,Marine,experimental,23,20,NA,dynamic,LOE,1,NA,NA,NA,NA,32.2,0.6,12,yes,Marine,Martínez-Porchas & Hernández-Rodríguez 2010,126
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,12,14,NA,dynamic,LOE,0.5,NA,146.00,NA,NA,28.9,0.5,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,15,14,NA,dynamic,LOE,0.5,NA,146.00,NA,NA,29,0.4,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,20,14,NA,dynamic,LOE,0.5,NA,146.00,NA,NA,30.9,0.3,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,26,14,NA,dynamic,LOE,0.5,NA,146.00,NA,NA,33.6,0.2,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,28,14,NA,dynamic,LOE,0.5,NA,146.00,NA,NA,33.7,0.2,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,12,14,NA,dynamic,death,0.5,NA,146.00,NA,NA,29,0.5,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,15,14,NA,dynamic,death,0.5,NA,146.00,NA,NA,29.3,0.4,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,20,14,NA,dynamic,death,0.5,NA,146.00,NA,NA,31.1,0.3,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,26,14,NA,dynamic,death,0.5,NA,146.00,NA,NA,33.8,0.2,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Sardinops sagax,Coastal waters of Japan,34.49,138.16,Marine,experimental,28,14,NA,dynamic,death,0.5,NA,146.00,NA,NA,33.9,0.2,5,yes,Marine,Tsuchida 1995,201
Cottidae,Cottus bairdii,Buffalo creek Erie County New York US,42.6,-78.47,Freshwater,experimental,15,28,NA,dynamic,OS,1,NA,NA,0.18,NA,30.9,0.33,10,yes,Freshwater,Kowaski et al. 1978,108
Cottidae,Cottus bairdii,Etowah River Georgia US,34.19,-84.95,Freshwater,experimental,10,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,29.56,1.08,10,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus bairdii,Etowah River Georgia US,34.19,-84.95,Freshwater,experimental,15,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,30.37,1.22,10,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus bairdii,Etowah River Georgia US,34.19,-84.95,Freshwater,experimental,20,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,32.01,0.52,10,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus bairdii,Etowah River Georgia US,34.19,-84.95,Freshwater,experimental,25,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,33.83,0.37,11,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Conasauga River Georgia US,40.03,-76.27,Freshwater,experimental,10,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,28.69,1.33,9,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Coosawattee River Georgia US,34.6,-84.7,Freshwater,experimental,10,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,29.06,0.97,15,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Conasauga River Georgia US,40.03,-76.27,Freshwater,experimental,15,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,31.14,0.41,19,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Coosawattee River Georgia US,34.6,-84.7,Freshwater,experimental,15,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,31.56,0.74,20,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Conasauga River Georgia US,40.03,-76.27,Freshwater,experimental,20,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,32.43,0.87,18,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Coosawattee River Georgia US,34.6,-84.7,Freshwater,experimental,20,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,32.81,0.65,16,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Conasauga River Georgia US,40.03,-76.27,Freshwater,experimental,25,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,34.34,0.47,21,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus carolinae,Coosawattee River Georgia US,34.6,-84.7,Freshwater,experimental,25,7,1,dynamic,LOE,0.3,NA,NA,NA,NA,34.24,0.42,17,yes,Freshwater,Walsh et al. 1997,206
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,3,14,24,static,death,0.008,10080,NA,NA,adults,23.55,1.44,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,7,14,24,static,death,0.008,10080,NA,NA,adults,24.83,0.86,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,10,14,24,static,death,0.008,10080,NA,NA,adults,26.07,1.21,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,15,14,24,static,death,0.008,10080,NA,NA,adults,27.66,1.44,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,20,14,24,static,death,0.008,10080,NA,NA,adults,27.43,1.56,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,25,14,24,static,death,0.008,10080,NA,NA,adults,27.53,1.5,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,27,14,24,static,death,0.008,10080,NA,NA,adults,27.4,1.27,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,3,14,24,static,death,0.008,10080,NA,NA,adults,23.41,0.58,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,7,14,24,static,death,0.008,10080,NA,NA,adults,24.97,1.21,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,10,14,24,static,death,0.008,10080,NA,NA,adults,25.82,1.38,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,15,14,24,static,death,0.008,10080,NA,NA,adults,27.63,1.38,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,20,14,24,static,death,0.008,10080,NA,NA,adults,27.33,1.44,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,25,14,24,static,death,0.008,10080,NA,NA,adults,27.61,1.38,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,River Brathay England,54.43,-3.02,Freshwater,experimental,27,14,24,static,death,0.008,10080,NA,NA,adults,27.59,1.09,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,3,14,24,static,death,0.008,10080,NA,NA,adults,23.74,2.02,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,7,14,24,static,death,0.008,10080,NA,NA,adults,24.73,1.61,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,10,14,24,static,death,0.008,10080,NA,NA,adults,25.82,1.33,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,15,14,24,static,death,0.008,10080,NA,NA,adults,27.46,1.15,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,20,14,24,static,death,0.008,10080,NA,NA,adults,27.44,1.33,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,25,14,24,static,death,0.008,10080,NA,NA,adults,27.36,1.1,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Troutbeck England,54.4,-2.92,Freshwater,experimental,27,14,24,static,death,0.008,10080,NA,NA,adults,27.31,1.67,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,3,14,24,static,death,0.008,10080,NA,NA,juveniles,21.07,1.21,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,7,14,24,static,death,0.008,10080,NA,NA,juveniles,22.52,1.27,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,10,14,24,static,death,0.008,10080,NA,NA,juveniles,23.51,1.15,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,15,14,24,static,death,0.008,10080,NA,NA,juveniles,25.39,1.84,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,20,14,24,static,death,0.008,10080,NA,NA,juveniles,27.55,1.5,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,25,14,24,static,death,0.008,10080,NA,NA,juveniles,27.4,1.27,10,yes,Freshwater,Elliott & Elliott 1995,66
Cottidae,Cottus gobio,Dale Park Beck England,54.47,-1.18,Freshwater,experimental,27,14,24,static,death,0.008,10080,NA,NA,juveniles,27.42,1.56,10,yes,Freshwater,Elliott & Elliott 1995,66
Cyprinidae,Agosia chrysogaster,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,38.2,0.18,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Agosia chrysogaster,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,40.8,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Agosia chrysogaster,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,38.7,0.18,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Agosia chrysogaster,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,40.9,0.18,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Agosia chrysogaster,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,38.9,0.18,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Agosia chrysogaster,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,41.1,0.18,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Agosia chrysogaster,Upper Gila River New Mexico US,33.08,-108.46,Freshwater,experimental,18,22,NA,dynamic,LOE,0.7,NA,NA,NA,larvae,34.29,0.29,5,yes,Freshwater,Troia et al. 2015,200
Cyprinidae,Agosia chrysogaster,Upper Gila River New Mexico US,33.08,-108.46,Freshwater,experimental,20.4,22,NA,dynamic,LOE,0.7,NA,NA,NA,larvae,35.54,0.23,4,yes,Freshwater,Troia et al. 2015,200
Cyprinidae,Agosia chrysogaster,Upper Gila River New Mexico US,33.08,-108.46,Freshwater,experimental,21.5,22,NA,dynamic,LOE,0.7,NA,NA,NA,larvae,35.81,0.35,4,yes,Freshwater,Troia et al. 2015,200
