internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
135301,Oncorhynchus nerka,ANIMALIA,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Oncorhynchus,nerka,,,,,"(Walbaum, 1792)","In the 2008 Red List assessment, a total of 75 extant and five extinct 'subpopulations' were identified across the natural range of <span style=""font-style: italic;"">O. nerka</span>. In the 2011 amendment, several of these subpopulations were further subdivided based on additional input from salmon specialists (Pacific Salmon Commission, PSC, and Fisheries and Oceans Canada, DFO), resulting in a total of 98 subpopulations, of which 93 are extant. The subpopulations in this assessment are considered independent and reproductively isolated from each other.<br/><br/>The assessors used a combination of ecoregional (i.e., marine and  freshwater habitat-based) classification and the degree of genetic  divergence between known spawning 'locations', using an <span style=""font-style: italic;"">F</span><sub>ST</sub> value of  0.04, representing a threshold level of gene flow between putative  'subpopulations' of less than or equal to one effective migrant per  year. The five extinct subpopulations were based on Gustafson <span style=""font-style: italic;"">et al</span>.  2007. While the assessors acknowledge that it is not straightforward to  ascribe demographic or geographic distinctness to a subpopulation based  on observed genetic distances, they feel it is the most appropriate  methodology given the scale of the assessment and the paucity of  observations of stray rates among the spawning locations considered in  this assessment."
153538,Zostera marina,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Zostera,marina,,,,,L.,
153634,Cherax cainii,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PARASTACIDAE,Cherax,cainii,,,,,"Austin and Ryan, 2002","This species and <em>Cherax tenuimanus</em> were formerly thought to be the same species (C.M. Austin pers. comm. 2008). It has recently been proposed to re-combine these species, for functional clarity but not taxonomic similarity (Molony et al. 2006)"
153648,Pacifastacus leniusculus,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ASTACIDAE,Pacifastacus,leniusculus,,,,,"(Dana, 1852)","Sub species: <br/><em>leniusculus</em> (Signal crayfish): <em>Astacus leniusculus</em> was placed on the Official List of Specific Names in Zoology, name number 2244, in Opinion 855 of the International Commission on Zoological Nomenclature. (See Melville, 1968: 84). <br/><em>klamathensis</em> (Klamath Signal Crayfish) <br/><em>trowbridgii</em>: (Columbia River Signal Crayfish)<br/><br/>Recent genetic studies (Crandall lab) suggest that these different subspecies are in fact distinct.&#160; Thus the <em>P. klamathensis</em> and <em>P. trowbridgii </em>might themselves be endangered whereas the <em>P. leniusculus</em> is more broad spread and indeed an invasive."
153735,Pacifastacus gambelii,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ASTACIDAE,Pacifastacus,gambelii,,,,,"(Girard, 1852)",
154820,Alepisaurus ferox,ANIMALIA,CHORDATA,AULOPIFORMES,ACTINOPTERYGII,ALEPISAURIDAE,Alepisaurus,ferox,,,,,"Lowe, 1833",
155094,Clinocottus globiceps,ANIMALIA,CHORDATA,SCORPAENIFORMES,ACTINOPTERYGII,COTTIDAE,Clinocottus,globiceps,,,,,"(Girard, 1858)",
161403,Somniosus pacificus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SOMNIOSIDAE,Somniosus,pacificus,,,,,"Bigelow &amp; Schroeder, 1944",Records of this species in the southern hemisphere are most likely that of <em>S. antarcticus</em>.
161864,Marsilea quadrifolia,PLANTAE,TRACHEOPHYTA,SALVINIALES,POLYPODIOPSIDA,MARSILEACEAE,Marsilea,quadrifolia,,,,,L.,<p><br/></p><p><br/></p>
163984,Juncus articulatus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,articulatus,,,,,L.,"<span style=""font-style: italic;"">J. articulatus </span>is known to  hybridise with <span style=""font-style: italic;"">J. acutiflorus </span>(<span style=""font-style: italic;"">J</span>. ×<span style=""font-style: italic;"">surrejanus </span>  Druce ex Stace & Lambinon), it is not clear to what extent the hybrid may have replaced <span style=""font-style: italic;"">J. articulatus</span> throughout much of the United Kingdom."
164199,Typha angustifolia,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,TYPHACEAE,Typha,angustifolia,,,,,L.,There are no significant taxonomic issues associated with this name.
166694,Pila globosa,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,AMPULLARIIDAE,Pila,globosa,,,,,"(Swainson, 1822)","<br/><table x:str="""" style=""border-collapse: collapse; width: 335pt;"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""447"">"
167890,Nymphaea tetragona,PLANTAE,TRACHEOPHYTA,NYMPHAEALES,MAGNOLIOPSIDA,NYMPHAEACEAE,Nymphaea,tetragona,,,,,Georgi,"<p>  The hybrid with <em>N.&#160;candida</em> (<em>N</em>.&#160;×<em>sundvikii</em> Hiit.) is occasional, usually in the presence of both parents (Tzvelev 1996).</p>"
167905,Potamogeton obtusifolius,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,POTAMOGETONACEAE,Potamogeton,obtusifolius,,,,,Mert. &amp; W.D.J.Koch,"There are no significant taxonomic issues associated with this name, although numerous varieties and forms have been described. No hybrids with this species are reliably reported."
167926,Sparganium emersum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,TYPHACEAE,Sparganium,emersum,,,,,Rehmann,"<p>There are no significant taxonomic issues associated with this name. The species has been shown to hybridise with <span style=""font-style: italic;"">S. angustifolium</span> (<span style=""font-style: italic;"">S.</span>   ×<span style=""font-style: italic;"">diversifolium </span>Graebner) and <span style=""font-style: italic;"">S. gramineum</span>    (<span style=""font-style: italic;"">S</span>.×<span style=""font-style: italic;"">speirocephalum </span>  Neuman in C.J. Hartman<span style=""font-style: italic;""></span>). Although these hybrids may be common, they are not considered likely to affect the survival of the species or this evaluation.<br/></p>"
168695,Lemna perpusilla,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Lemna,perpusilla,,,,,Torr.,"Landolt (1986) states that <span style=""font-style: italic;"">Lemna perpusilla</span>  is endemic to North America and all other records should be attributed  to <span style=""font-style: italic;"">L. aequinoctalis</span>, however he lists no specimens of either species  form the Arabian Peninsula, likewise the World Checklist of Selected  Plant Families (^The Trustees of the Royal Botanic Garden, Kew 2012)  does. Unless the converse can be demonstrated, this species should not  be considered to occur in the Arabian Peninsula. Records of this <span style=""font-style: italic;"">L. perpusilla</span> and <span style=""font-style: italic;"">L. aequinoctalis</span> are probably misidentified <span style=""font-style: italic;"">L. minor</span>."
168882,Hygrophila pinnatifida,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,pinnatifida,,,,,(Dalzell) Sreem.,"<strong></strong><span style=""font-style: italic;""></span><br/><span style=""font-style: italic;""></span> <br/><p><br/></p><p><br/></p>"
168991,Landoltia punctata,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Landoltia,punctata,,,,,(G.Mey.) Les &amp; D.J.Crawford,"According to Royal Botanic Gardens, Kew WCSPF (World Checklist of Selected Plant Families), this genus belongs to the Araceae Family. 
<br>
<br>This species may be easily confused with <i>Spirodela polyrhiza</i>."
169039,Nechamandra alternifolia,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Nechamandra,alternifolia,,,,,(Roxb. ex Wight) Thwaites,
17027,Phocoena phocoena,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,PHOCOENIDAE,Phocoena,phocoena,,,,,"(Linnaeus, 1758)","<p>Five subspecies of Harbor Porpoises are currently recognized by the Society for Marine Mammalogy’s Committee on Taxonomy (2018). Two of these occur in the Pacific Ocean: the Eastern Pacific Harbor Porpoise (<em>P. p. vomerina</em>) in the eastern North Pacific and an un-named subspecies in the western North Pacific (Rice 1998). In the eastern North Pacific hybrids between Harbor Porpoise and Dall’s Porpoise (<em>Phocoenoides dalli</em>) often occur (Willis <em>et al.</em> 2004; Jefferson <em>et al.</em> 2015). Three subspecies are known from the Atlantic region: the Atlantic Harbor Porpoise, (<em>P. p. phocoena</em>) which has a distribution spanning the North Atlantic from North America to Europe; the Black Sea Harbor Porpoise (<em>P. p. relicta</em>)&#160;in the Black Sea (Viaud-Martinez <em>et al</em>. 2007); and the Afro-Iberian subspecies which is unnamed (Committee on Taxonomy 2018) although Fontaine <em>et al.</em> (2014) suggested the name&#160;<em>P.&#160;p.&#160;meridionalis</em>. &#160;A distinct mitochondrial lineage has been found in one porpoise from West Greenland, which raises the possibility that another Atlantic subspecies exists (IMR/NAMMCO 2019). A recent workshop on the status of Harbor Porpoises in the North Atlantic recognised 18 different assessment units there (IMR/NAMMCO 2019).</span></p>"
170306,Scomber japonicus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Scomber,japonicus,,,,,"Houttuyn, 1782","The Pacific Chub Mackerel (<span style=""font-style: italic;"">Scomber japonicus</span>) has a Pacific distribution,and is replaced in the Atlantic by <span style=""font-style: italic;"">Scomber colias</span> (Scoles <span style=""font-style: italic;"">et al</span>. 1998, Collette 1999). Microsatellite and mitochondrial cyt b confirm that <span style=""font-style: italic;"">Scomber australasicus</span> and <span style=""font-style: italic;"">S. japonicus</span> are also separate species (Tzeng <span style=""font-style: italic;"">et al</span>. 2009). <span style=""font-style: italic;"">Scomber japonicus</span> is apparently absent from Indonesia and Australia, where it is replaced by <span style=""font-style: italic;"">Scomber australasicus</span> (Collette 2001). The population from the Red Sea and northern Indian Ocean (the Gulf of Aden and Oman) is <span style=""font-style: italic;"">Scomber australasicus</span> (Baker and Collette 1998)."
170310,Katsuwonus pelamis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Katsuwonus,pelamis,,,,,"(Linnaeus, 1758)",
170352,Sarda chiliensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Sarda,chiliensis,,,,,"(Cuvier, 1832)","Two subspecies are recognized: <span style=""font-style: italic;"">Sarda chiliensis lineolata</span> occurs from Alaska to the tip of Baja California and the southwest Gulf of California, and the Revillagigedo Islands. <span style=""font-style: italic;"">Sarda chiliensis chiliensis</span> occurs from Ecuador to Chile (Collette and Chao 1975)."
173320,Phyllospadix torreyi,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Phyllospadix,torreyi,,,,,S.Watson,
173348,Zostera japonica,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Zostera,japonica,,,,,Asch. &amp; Graebn.,"This species has been reclassified as <em>Nanozostera</em> (Tomlinson and Posluzny 2001), although here it is retained in the genus <em>Zostera</em>."
173366,Phyllospadix serrulatus,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Phyllospadix,serrulatus,,,,,Rupr. ex Asch.,
173367,Phyllospadix scouleri,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Phyllospadix,scouleri,,,,,Hook.,
173373,Zostera pacifica,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Zostera,pacifica,,,,,S.Watson,"<span style=""font-style: italic;"">Zostera pacifica</span> is a newly resurrected species based on genetic studies in the Channel Is., California, USA."
183220,Synodus lucioceps,ANIMALIA,CHORDATA,AULOPIFORMES,ACTINOPTERYGII,SYNODONTIDAE,Synodus,lucioceps,,,,,"(Ayres, 1855)",
183337,Peprilus simillimus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,STROMATEIDAE,Peprilus,simillimus,,,,,"(Ayres, 1860)",
183618,Medialuna californiensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,KYPHOSIDAE,Medialuna,californiensis,,,,,"(Steindachner, 1876)",
183724,Porichthys notatus,ANIMALIA,CHORDATA,BATRACHOIDIFORMES,ACTINOPTERYGII,BATRACHOIDIDAE,Porichthys,notatus,,,,,"Girard, 1854",
183729,Trachurus symmetricus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CARANGIDAE,Trachurus,symmetricus,,,,,"(Ayres, 1855)",<i>Trachurus murphyi</i> which occurs in the southern part of this region is the sister species of <i>T. symmetricus</i>.
183848,Atractoscion nobilis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Atractoscion,nobilis,,,,,"(Ayres, 1860)",
183856,Engraulis mordax,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,ENGRAULIDAE,Engraulis,mordax,,,,,"Girard, 1854","Two subspecies recognized: <em>Engraulis mordax mordax</em> from British Columbia to Baja California, and <em>Engraulis mordax nanus</em> in Bays of California (FAO-FIGIS, 2001). Other authors consider <em>E. m. nanus</em> to be a synonym of <em>E. mordax</em>."
183957,Atherinops affinis,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,ATHERINOPSIDAE,Atherinops,affinis,,,,,(Ayres 1860),
183991,Caulolatilus princeps,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,MALACANTHIDAE,Caulolatilus,princeps,,,,,"(Jenyns, 1840)",
185000,Stereomastis nana,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,POLYCHELIDAE,Stereomastis,nana,,,,,"(Smith, 1884)",
188974,Anodonta beringiana,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Anodonta,beringiana,,,,,"Middendorf, 1851","Recently, Zanatta <span style=""font-style: italic;"">et al</span>. (2007) supported the monophyly of both <span style=""font-style: italic;"">Pyganodon </span>and <span style=""font-style: italic;"">Utterbackia </span>using mutation coding of allozyme data, but also resolved the Eurasian <span style=""font-style: italic;"">Anodonta cygnea </span>to <span style=""font-style: italic;"">Pyganodon</span>, <span style=""font-style: italic;"">Utterbackia</span>, and North American <span style=""font-style: italic;"">Anodonta</span>; this indicates further phylogenetic analysis of the <span style=""font-style: italic;"">Anodontinae </span>is required, including both North American and Eurasian species.&#160; <br/><br/>In a phylogenetic analysis of western North American <span style=""font-style: italic;"">Anodonta </span>using topotypic material as was available, Chong <span style=""font-style: italic;"">et al</span>. (2008) found three deeply divided lineages: one clade including <span style=""font-style: italic;"">Anodonta oregonensis </span>and <span style=""font-style: italic;"">Anodonta kennerlyi</span>, one clade including <span style=""font-style: italic;"">Anodonta californiensis </span>and <span style=""font-style: italic;"">Anodonta nuttalliana</span>, and one clade including <span style=""font-style: italic;"">Anodonta beringiana</span>.  Chong <span style=""font-style: italic;"">et al</span>. (2008) further found that <span style=""font-style: italic;"">A. beringiana </span>is more closely allied with the Asian <span style=""font-style: italic;"">Anodonta woodiana </span>than either of the other two western North American clades. The Russian authors place this species into the genus <span style=""font-style: italic;"">Beringiana</span> (Strabogatov and Zatrawkin 1983) as its type species (Zatrawkin and Bogatov 1987, Kantor et al. 2009). Perhaps this is in accordance with the results of Chong <span style=""font-style: italic;"">et al</span>. (2008). <span style=""font-style: italic;"">Anodonta youkonensis </span>(Lea, 1867) is an important synonym to note (M. Vinarski pers. comm. 2011)."
189119,Ferrissia fragilis,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Ferrissia,fragilis,,,,,"(Tryon, 1863)","Genetic examination of the molecular phylogeny of the global Planorboidea at the COI and 18S molecular markers indicates that all North American ancylid taxa form a well-supported clade, the Bulinini (Albrecht<em> et al.</em> 2007).  The species name <em>Ferrissia californica</em> precedes <em>Ferrissia fragilis</em> (Taylor 1981), but the American Fisheries Society (Turgeon <em>et al</em>. 1998) publication lists <em>fragilis</em>; hopefully this will be rectified in the next edition.  <em>Ferrissia hendersoni </em>is considered by some to be a junior synonym of <em>Ferrissia fragilis</em> (see Basch 1963, Dillon <em>et al.</em> 2006)."
189147,Drepanotrema cimex,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Drepanotrema,cimex,,,,,"Moricand, 1839",
189207,Galba bulimoides,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,LYMNAEIDAE,Galba,bulimoides,,,,,"(Lea, 1841)","In Europe Falkner <em>et al</em>. (2001) use <span style=""font-style: italic;"">Galba</span> whereas in North American <em>Fossaria</em> was used for this genus (Turgeon <em>et al.</em>, 1998).&#160; The latest publication on the conservation status of the North America Gastropods (Johnson <em>et al.</em>, 2013) used <em>Galba</em>  for the genus in North America, thus the IUCN Red List is now following  this convention and all species previously recognised as <em>Fossaria</em> are now in genus <em>Galba</em>. <br/><br/>The <span style=""font-style: italic;""><em>Galba </em>bulimoides</span>  group is in flux (Burch 1989; Hubendick, 1951)  with species variably  recognised as forms, varieties subspecies or full  species."
189336,Pristinicola hemphilli,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,HYDROBIIDAE,Pristinicola,hemphilli,,,,,"Pilsbry, 1890",
189646,Valvata humeralis,ANIMALIA,MOLLUSCA,ALLOGASTROPODA,GASTROPODA,VALVATIDAE,Valvata,humeralis,,,,,"Say, 1829","Recent surveys of this species across  western USA found no morphologically similar specimens to the holotype,  which is from Mexico. This suggests that individuals thought to be <em>Valvata humeralis</em> from the US may be a different species, and<em> V. humeralis</em> may actually be restricted to Mexico (Hovingh 2004, Miller <em>et al. </em>2006). Hovingh (2004) proposed that US specimens be renamed <em>V. californica</em>. However, this assessment follows the previously established view of a US/Mexican distribution until further confirmation of the taxonomic status.<em><br/></em>"
189656,Juga acutifilosa,ANIMALIA,MOLLUSCA,SORBEOCONCHA,GASTROPODA,SEMISULCOSPIRIDAE,Juga,acutifilosa,,,,,"(Stearns, 1890)",There is uncertainty as to the classification of this species and other members of the genus <em>Juga.</em>  Only anatomical and morphological systematics have been conducted on  this group (Strong and Frest 2007); further molecular studies are needed  to resolve these uncertainties.
189673,Stagnicola traski,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,LYMNAEIDAE,Stagnicola,traski,,,,,"Tryon, 1863","Jackiewicz (1998), states that there are several problems concerning the  nomenclature of the family Lymnaeidae, and that there is probably no  other snail group in such taxonomical disarray. <em>Stagnicola</em> has been used as a synonym for <em>Lymnaea</em> by various authors, and as a subgenus of <em>Lymnaea</em> by others (Ponder and Waterhouse 1997, Vinarski 2003, NatureServe 2009). Mozley (1928) lists this species as <em>Lymnaea traskii</em>, but NatureServe (2009) lists this species as <em>Stagnicola traski</em>. <br/> <br/>In Taylor (1981) this species is listed as part of the <em>Lymnaea (Stagnicola) palustris</em> species complex. In addition to <em>Lymnaea traski</em>, Taylor includes <em>Lymnaea proxima</em> (Lea, 1856), <em>Limnophysa tryoni</em> (Tryon, 1865), <em>Lymnaea tryoniana</em> (Lea, 1867), <em>Lymnaea gabbi</em> (Tryon, 1865), <em>Lymnaea rowelli</em> (Tryon, 1865), <em>Lymnaea californica</em> (Sowerby, 1872), <em>Lymnaea interstriata</em> (Sowerby, 1872), <span style=""font-style: italic;"">Lymnaea leai</span> (Baker, 1907) and <em>Stagnicola palustris magister</em> (Baker, 1934) within the complex. <br/> <br/><br/> <br/><em><br/></em>"
19179,Rana pretiosa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Rana,pretiosa,,,,,"Baird &amp; Girard, 1853","<i>Rana luteiventris</i> was included in this species before it was elevated to species status by Green <i>et al.</i> (1996, 1997)."
