Species,Body_size,body_size_metric,body_size_unit,Weight,body_size_ref,Dispersal_category,Dispersal_ref,Fecundity,Longevity,BodyShapeI,AnaCat
Cyprinella lutrensis,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,1754,11,fusiform / normal,amphidromous
Cyprinella spiloptera,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,300,11,fusiform / normal,amphidromous
Cyprinus carpio,10,TL,cm,NA,Fishbase,,Fishbase,NA,NA,short and / or deep,NA
Danio rerio,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,360000,9,fusiform / normal,anadromous
Gila robusta,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,360000,9,fusiform / normal,anadromous
Gobio gobio,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,456700,9,fusiform / normal,anadromous
Hybognathus placitus,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,660000,9,fusiform / normal,anadromous
Hypophthalmichthys nobilis,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,10011,9,fusiform / normal,anadromous
Labeo rohita,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,22407,9,fusiform / normal,anadromous
Leuciscus idus,40,SL,cm,200,Fishbase,benthic devepment and swimming adults,Fishbase,NA,9,fusiform / normal,anadromous
Luxilus chrysocephalus,57,FL,cm,1980,Fishbase,pelagic development,Fishbase,378990,10,fusiform / normal,anadromous
Luxilus cornutus,57,FL,cm,1980,Fishbase,pelagic development,Fishbase,543912,10,fusiform / normal,anadromous
Meda fulgida,39.5,SL,cm,486,Fishbase,pelagic development,Fishbase,65000,25,fusiform / normal,oceanodromous
Notemigonus crysoleucas,39.5,SL,cm,486,Fishbase,pelagic development,Fishbase,45000,25,fusiform / normal,oceanodromous
Notropis atherinoides,15,TL,cm,NA,Fishbase,,Fishbase,949,2,elongated,NA
Notropis hudsonius,18,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
Notropis rubellus,18,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,500,10,fusiform / normal,potamodromous
Notropis stramineus,18,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,NA,10,fusiform / normal,potamodromous
Pimephales notatus,18,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,600,10,fusiform / normal,potamodromous
Pimephales promelas,10,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
Rhinichthys atratulus,22,TL,cm,NA,Fishbase,,Fishbase,623,NA,fusiform / normal,NA
Rhinichthys cobitis,48,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,380000,41,fusiform / normal,potamodromous
Rhinichthys osculus,48,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,400000,41,fusiform / normal,potamodromous
Rutilus rutilus,48,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,80000,41,fusiform / normal,potamodromous
Scardinius erythrophthalmus,64,TL,cm,3000,Fishbase,benthic devepment and swimming adults,Fishbase,250000,10,fusiform / normal,potamodromous
Semotilus atromaculatus,64,TL,cm,3000,Fishbase,benthic devepment and swimming adults,Fishbase,300000,10,fusiform / normal,potamodromous
Siphateles bicolor,64,TL,cm,3000,Fishbase,benthic devepment and swimming adults,Fishbase,300000,10,fusiform / normal,potamodromous
Squalius cephalus,9.1,TL,cm,NA,Fishbase,,Fishbase,1020,3,elongated,NA
Cyprinodon bovinus,23,TL,cm,NA,Fishbase,,Fishbase,6630,5,fusiform / normal,NA
Cyprinodon dearborni,23,TL,cm,NA,Fishbase,,Fishbase,2450,5,fusiform / normal,NA
Cyprinodon macularius,23,TL,cm,NA,Fishbase,,Fishbase,1590,5,fusiform / normal,NA
Cyprinodon nevadensis,150,TL,cm,45000,Fishbase,pelagic development,Fishbase,600000,21,fusiform / normal,potamodromous
Gobiomorphus basalis,150,TL,cm,45000,Fishbase,pelagic development,Fishbase,NA,21,fusiform / normal,potamodromous
Gobiomorphus cotidianus,150,TL,cm,45000,Fishbase,pelagic development,Fishbase,200000,21,fusiform / normal,potamodromous
Esox lucius,150,TL,cm,45000,Fishbase,pelagic development,Fishbase,1500000,21,fusiform / normal,potamodromous
Esox masquinongy,9,TL,cm,NA,Fishbase,,Fishbase,684,3,fusiform / normal,NA
Fundulus diaphanus,12,TL,cm,NA,Fishbase,,Fishbase,7474,5,fusiform / normal,NA
Fundulus heteroclitus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,2208000,38,fusiform / normal,potamodromous
Fundulus notatus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,1000000,38,fusiform / normal,potamodromous
Galaxias maculatus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,416650,38,fusiform / normal,potamodromous
Culaea inconstans,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Gasterosteus aculeatus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Gobiesox strumosus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Bathygobius fuscus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Bathygobius ramosus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Bathygobius soporator,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Coryphopterus urospilus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Gillichthys mirabilis,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Gobiosoma chiquita,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Gobius paganellus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Haemulon flavolineatum,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Ameiurus catus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Ameiurus melas,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Ameiurus natalis,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Ameiurus nebulosus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Ictalurus punctatus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Kuhlia sandvicensis,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Halichoeres dispilus,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Thalassoma lucasanum,120,TL,cm,40090,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,potamodromous
Lutjanus guttatus,3.8,SL,cm,NA,Fishbase,,Fishbase,500,NA,fusiform / normal,NA
Dicentrarchus labrax,43,TL,cm,NA,Fishbase,,Fishbase,10000,8,fusiform / normal,NA
Morone chrysops,21,TL,cm,220,Fishbase,benthic devepment and swimming adults,Fishbase,3000,8,fusiform / normal,potamodromous
Morone saxatilis,21,TL,cm,220,Fishbase,benthic devepment and swimming adults,Fishbase,3000,8,fusiform / normal,potamodromous
Chelon subviridis,13,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
Mugil cephalus,146,SL,cm,40000,Fishbase,,Fishbase,200000,20,fusiform / normal,potamodromous
Gobionotothen gibberifrons,146,SL,cm,40000,Fishbase,,Fishbase,1100000,20,fusiform / normal,potamodromous
Lepidonotothen squamifrons,200,TL,cm,45000,Fishbase,pelagic development,Fishbase,2984024,10,fusiform / normal,potamodromous
Notothenia coriiceps,85,SL,cm,4000,Fishbase,benthic devepment and swimming adults,Fishbase,114000,18,fusiform / normal,potamodromous
Pagothenia borchgrevinki,85,SL,cm,4000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,18,fusiform / normal,potamodromous
Trematomus bernacchii,24,TL,cm,NA,Fishbase,,Fishbase,NA,4,fusiform / normal,NA
Trematomus hansoni,18,TL,cm,NA,Fishbase,,Fishbase,3940,6,fusiform / normal,NA
Hypomesus transpacificus,9.1,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
Osmerus mordax,32,TL,cm,NA,Fishbase,,Fishbase,200000,9,fusiform / normal,NA
Etheostoma blennioides,32,TL,cm,NA,Fishbase,,Fishbase,NA,9,fusiform / normal,NA
Etheostoma caeruleum,13,TL,cm,NA,Fishbase,,Fishbase,2990,4,elongated,NA
Etheostoma flabellare,15,TL,cm,NA,Fishbase,,Fishbase,8898,5,elongated,NA
Etheostoma nigrum,9,TL,cm,NA,Fishbase,,Fishbase,900,3,fusiform / normal,NA
Etheostoma spectabile,8.2,TL,cm,NA,Fishbase,,Fishbase,2600,3,fusiform / normal,NA
Gymnocephalus cernua,11,TL,cm,NA,Fishbase,,Fishbase,NA,5,elongated,NA
Perca flavescens,10.1,TL,cm,NA,Fishbase,,Fishbase,10164,5,fusiform / normal,NA
Perca fluviatilis,12.4,TL,cm,NA,Fishbase,,Fishbase,2674,3,fusiform / normal,NA
Sander vitreus,6,TL,cm,NA,Fishbase,,Fishbase,1200,5,elongated,NA
Gambusia affinis,11,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
Heterandria formosa,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,200000,14,fusiform / normal,potamodromous
Poecilia mexicana,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,NA,14,fusiform / normal,potamodromous
Abudefduf saxatilis,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,NA,14,fusiform / normal,potamodromous
Retropinna retropinna,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,NA,14,fusiform / normal,potamodromous
Coregonus artedi,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,7053,14,fusiform / normal,potamodromous
Coregonus clupeaformis,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,4146,14,fusiform / normal,potamodromous
Oncorhynchus clarkii,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,6558,14,fusiform / normal,potamodromous
Oncorhynchus kisutch,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,32810,14,fusiform / normal,potamodromous
Oncorhynchus mykiss,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,49354,14,fusiform / normal,potamodromous
Salmo trutta,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,34000,14,fusiform / normal,potamodromous
Salvelinus alpinus alpinus,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,16539,14,fusiform / normal,potamodromous
Salvelinus fontinalis,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,17291,14,fusiform / normal,potamodromous
Salvelinus namaycush,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,5985,14,fusiform / normal,potamodromous
Thymallus arcticus,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,10000,14,fusiform / normal,potamodromous
Scatophagus argus,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,7937,14,fusiform / normal,potamodromous
Aplodinotus grunniens,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,95387,14,fusiform / normal,potamodromous
Diplodus vulgaris,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,139027,14,fusiform / normal,potamodromous
Terapon jarbua,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,733525,14,fusiform / normal,potamodromous
Sphoeroides annulatus,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,NA,14,fusiform / normal,potamodromous
Zoarces viviparus,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,NA,14,fusiform / normal,potamodromous
,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,47000,14,fusiform / normal,potamodromous
,50.2,TL,cm,1840,Fishbase,benthic devepment and swimming adults,Fishbase,27400,14,fusiform / normal,potamodromous
,NA,NA,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,12284,19,fusiform / normal,potamodromous
,NA,NA,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,230000,19,fusiform / normal,potamodromous
,NA,NA,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,NA,19,fusiform / normal,potamodromous
,NA,NA,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,NA,19,fusiform / normal,potamodromous
,NA,NA,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,70900,19,fusiform / normal,potamodromous
,NA,NA,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,35629,19,fusiform / normal,potamodromous
,30.3,TL,cm,NA,Fishbase,,Fishbase,2255,8,elongated,NA
,45,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,100000,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,100000,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,20140,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,53100,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,potamodromous
,60,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,28664,22,fusiform / normal,potamodromous
,5.6,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,non-migratory
,4,TL,cm,NA,Fishbase,,Fishbase,NA,NA,NA,non-migratory
,5,TL,cm,NA,Fishbase,,Fishbase,NA,2,fusiform / normal,NA
,7.8,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
,9,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,non-migratory
,15,TL,cm,NA,Fishbase,,Fishbase,2000,NA,elongated,amphidromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,600000,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,125000,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,100000,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,NA,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,NA,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,63858,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,NA,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,123896,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,102000,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,65500,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,76600,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,77000,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,64800,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,NA,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,NA,30,elongated,potamodromous
,137,FL,cm,28350,Fishbase,benthic devepment and swimming adults,Fishbase,38000,30,elongated,potamodromous
,183,TL,cm,31750,Fishbase,,Fishbase,3000000,30,elongated,non-migratory
,13,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,50,NA,fusiform / normal,non-migratory
,15,TL,cm,NA,Fishbase,,Fishbase,NA,4,fusiform / normal,non-migratory
,8,TL,cm,NA,Fishbase,,Fishbase,30,NA,elongated,non-migratory
,19,SL,cm,NA,Fishbase,pelagic development,Fishbase,13500,NA,elongated,catadromous
,8.7,TL,cm,NA,Fishbase,,Fishbase,NA,2,fusiform / normal,NA
,11,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,450,8,fusiform / normal,anadromous
,11,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,1300,8,fusiform / normal,anadromous
,11,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,NA,8,fusiform / normal,anadromous
,8,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
,12,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,amphidromous
,20,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
,15,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,non-migratory
,6.5,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
,21,TL,cm,NA,Fishbase,pelagic development,Fishbase,27000,2,fusiform / normal,NA
,6.5,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
,13,TL,cm,NA,Fishbase,benthic devepment and swimming adults,Fishbase,8978,10,fusiform / normal,amphidromous
,30,TL,cm,NA,Fishbase,,Fishbase,NA,NA,short and / or deep,NA
,95,TL,cm,9750,Fishbase,,Fishbase,NA,14,fusiform / normal,potamodromous
,66,TL,cm,3620,Fishbase,,Fishbase,NA,10,fusiform / normal,amphidromous
,60,TL,cm,1920,Fishbase,,Fishbase,2000,4,elongated,NA
,55,TL,cm,2740,Fishbase,,Fishbase,NA,9,fusiform / normal,NA
,132,TL,cm,26300,Fishbase,,Fishbase,NA,24,fusiform / normal,NA
,25,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,amphidromous
,25,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
,15,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
,80,TL,cm,1310,Fishbase,,Fishbase,2170000,NA,fusiform / normal,NA
,103,TL,cm,12000,Fishbase,pelagic development,Fishbase,808581,30,fusiform / normal,oceanodromous
,45,TL,cm,3090,Fishbase,,Fishbase,994000,9,fusiform / normal,potamodromous
,200,TL,cm,57000,Fishbase,,Fishbase,3220000,30,fusiform / normal,anadromous
,200,TL,cm,57000,Fishbase,,Fishbase,4500000,30,fusiform / normal,anadromous
,200,TL,cm,57000,Fishbase,,Fishbase,700000,30,fusiform / normal,anadromous
,40,SL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,catadromous
,100,SL,cm,NA,Fishbase,pelagic development,Fishbase,7000000,16,fusiform / normal,catadromous
,100,SL,cm,NA,Fishbase,pelagic development,Fishbase,4800000,16,fusiform / normal,catadromous
,100,SL,cm,NA,Fishbase,pelagic development,Fishbase,4800000,16,fusiform / normal,catadromous
,100,SL,cm,NA,Fishbase,pelagic development,Fishbase,NA,16,fusiform / normal,catadromous
,100,SL,cm,NA,Fishbase,pelagic development,Fishbase,3000000,16,fusiform / normal,catadromous
,100,SL,cm,NA,Fishbase,pelagic development,Fishbase,898512,16,fusiform / normal,catadromous
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,106700,NA,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,84660,NA,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,143620,NA,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,135000,NA,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,113436,NA,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,161010,19,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,284610,19,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,180000,19,fusiform / normal,NA
,55,TL,cm,NA,Fishbase,pelagic development,Fishbase,780000,19,fusiform / normal,NA
,62,TL,cm,NA,Fishbase,,Fishbase,41024,NA,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,3000,NA,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,2750,NA,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,2500,10,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,3000,10,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,2890,10,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,3123,10,fusiform / normal,NA
,28,TL,cm,NA,Fishbase,,Fishbase,1730,10,fusiform / normal,NA
,41,TL,cm,NA,Fishbase,pelagic development,Fishbase,9600,NA,fusiform / normal,NA
,41,TL,cm,NA,Fishbase,pelagic development,Fishbase,NA,NA,fusiform / normal,NA
,41,TL,cm,NA,Fishbase,pelagic development,Fishbase,12000,NA,fusiform / normal,NA
,41,TL,cm,NA,Fishbase,pelagic development,Fishbase,2300,NA,fusiform / normal,NA
,41,TL,cm,NA,Fishbase,pelagic development,Fishbase,19605,NA,fusiform / normal,NA
,12,TL,cm,NA,Fishbase,,Fishbase,18000,1,elongated,anadromous
,35.6,TL,cm,NA,Fishbase,pelagic development,Fishbase,69600,7,elongated,anadromous
,17,TL,cm,NA,Fishbase,,Fishbase,1832,5,elongated,NA
,17,TL,cm,NA,Fishbase,,Fishbase,1800,5,elongated,NA
,7.7,TL,cm,NA,Fishbase,,Fishbase,1462,3,elongated,NA
,7.7,TL,cm,NA,Fishbase,,Fishbase,800,3,elongated,NA
,8.4,TL,cm,NA,Fishbase,,Fishbase,121,4,elongated,NA
,8.4,TL,cm,NA,Fishbase,,Fishbase,449,4,elongated,NA
,8.4,TL,cm,NA,Fishbase,,Fishbase,226,4,elongated,NA
,8.4,TL,cm,NA,Fishbase,,Fishbase,91,4,elongated,NA
,8.4,TL,cm,NA,Fishbase,,Fishbase,449,4,elongated,NA
